# Iteration    J_value
 (0.000000000000000000e+00+0.000000000000000000e+00j)  (7.147350485715322499e+00-1.757647641795445256e-16j)
 (1.000000000000000000e+00+0.000000000000000000e+00j)  (6.986525877091689374e+00+5.923500216844869825e-16j)
 (2.000000000000000000e+00+0.000000000000000000e+00j)  (6.829371548275034343e+00-8.240961970153307766e-16j)
 (3.000000000000000000e+00+0.000000000000000000e+00j)  (6.674576348569861928e+00-3.842949432602792925e-18j)
 (4.000000000000000000e+00+0.000000000000000000e+00j)  (6.522434945040598286e+00-2.697442182815268170e-16j)
 (5.000000000000000000e+00+0.000000000000000000e+00j)  (6.373493375850068254e+00+9.848785380664354679e-16j)
 (6.000000000000000000e+00+0.000000000000000000e+00j)  (6.227752849152638603e+00+6.132522542576234572e-16j)
 (7.000000000000000000e+00+0.000000000000000000e+00j)  (6.083336601488055884e+00+8.286933852612328357e-17j)
 (8.000000000000000000e+00+0.000000000000000000e+00j)  (5.941174064380393638e+00-6.842672829582651462e-16j)
 (9.000000000000000000e+00+0.000000000000000000e+00j)  (5.801794427391174125e+00-3.387465931053841889e-16j)
 (1.000000000000000000e+01+0.000000000000000000e+00j)  (5.664812733028041336e+00+2.165361090347760009e-16j)
 (1.100000000000000000e+01+0.000000000000000000e+00j)  (5.530068463058537276e+00-3.301444063670551962e-16j)
 (1.200000000000000000e+01+0.000000000000000000e+00j)  (5.397751784434442257e+00-5.566081248243795734e-16j)
 (1.300000000000000000e+01+0.000000000000000000e+00j)  (5.266801097094874429e+00-5.083614509919346824e-16j)
 (1.400000000000000000e+01+0.000000000000000000e+00j)  (5.139012188575799556e+00-6.531661544321118765e-16j)
 (1.500000000000000000e+01+0.000000000000000000e+00j)  (5.012580194871765649e+00-1.738672949905322611e-16j)
 (1.600000000000000000e+01+0.000000000000000000e+00j)  (4.888023299444411052e+00-5.657915188337517769e-16j)
 (1.700000000000000000e+01+0.000000000000000000e+00j)  (4.765193869989329478e+00-1.957849599890354671e-16j)
 (1.800000000000000000e+01+0.000000000000000000e+00j)  (4.645586712433529719e+00-5.633160209242362183e-16j)
 (1.900000000000000000e+01+0.000000000000000000e+00j)  (4.527284793184886524e+00-2.290434706754210669e-16j)
 (2.000000000000000000e+01+0.000000000000000000e+00j)  (4.410707833967950187e+00-3.299839814348784897e-16j)
 (2.100000000000000000e+01+0.000000000000000000e+00j)  (4.295732930881635880e+00-2.455836182416194555e-16j)
 (2.200000000000000000e+01+0.000000000000000000e+00j)  (4.183689312820723316e+00-1.215832702393318676e-16j)
 (2.300000000000000000e+01+0.000000000000000000e+00j)  (4.072686522854784386e+00+1.041653503044299860e-15j)
 (2.400000000000000000e+01+0.000000000000000000e+00j)  (3.963752274633423500e+00+2.353562442972231743e-16j)
 (2.500000000000000000e+01+0.000000000000000000e+00j)  (3.856143453177394154e+00-1.916370277940301400e-16j)
 (2.600000000000000000e+01+0.000000000000000000e+00j)  (3.750782891491113880e+00-1.723651948334648619e-16j)
 (2.700000000000000000e+01+0.000000000000000000e+00j)  (3.647420524952214471e+00-7.451031485022181423e-16j)
 (2.800000000000000000e+01+0.000000000000000000e+00j)  (3.545360286992834009e+00+6.347540783570666725e-16j)
 (2.900000000000000000e+01+0.000000000000000000e+00j)  (3.445309335512471094e+00+1.796421646271573187e-17j)
 (3.000000000000000000e+01+0.000000000000000000e+00j)  (3.347095548201853177e+00+1.676970915467993995e-16j)
