# Time(fs)    f(t)(a.u.)
0.000000000000000000e+00 -1.899168931953183152e-04
2.857551078725532531e-02 -1.915050701079474595e-04
5.715102157451065062e-02 -1.930698323135484088e-04
8.572653236176597247e-02 -1.946109957285405091e-04
1.143020431490213012e-01 -1.961283790255695055e-04
1.428775539362766300e-01 -1.976218039233323205e-04
1.714530647235319449e-01 -1.990910952176107957e-04
2.000285755107872598e-01 -2.005360801606123524e-04
2.286040862980426025e-01 -2.019565896154363791e-04
2.571795970852979729e-01 -2.033524572794819538e-04
2.857551078725532601e-01 -2.047235187576011911e-04
3.143306186598085472e-01 -2.060696139742864731e-04
3.429061294470638899e-01 -2.073905846857777716e-04
3.714816402343192325e-01 -2.086862766735090007e-04
4.000571510215745197e-01 -2.099565380989192032e-04
4.286326618088298623e-01 -2.112012204987653776e-04
4.572081725960852050e-01 -2.124201788702049186e-04
4.857836833833405477e-01 -2.136132701309792199e-04
5.143591941705959458e-01 -2.147803547516770090e-04
5.429347049578511220e-01 -2.159212970093643091e-04
5.715102157451065201e-01 -2.170359641765500403e-04
6.000857265323618073e-01 -2.181242265582389263e-04
6.286612373196170944e-01 -2.191859575545321358e-04
6.572367481068724926e-01 -2.202210338127446687e-04
6.858122588941277797e-01 -2.212293349105342341e-04
7.143877696813831779e-01 -2.222107442395895274e-04
7.429632804686384651e-01 -2.231651482574042598e-04
7.715387912558937522e-01 -2.240924361613143225e-04
8.001143020431490394e-01 -2.249925010024125469e-04
8.286898128304044375e-01 -2.258652388564410618e-04
8.572653236176597247e-01 -2.267105492942879277e-04
8.858408344049151228e-01 -2.275283349140528244e-04
9.144163451921704100e-01 -2.283185020021859192e-04
9.429918559794256971e-01 -2.290809599500976789e-04
9.715673667666810953e-01 -2.298156217378611134e-04
1.000142877553936271e+00 -2.305224038085301112e-04
1.028718388341191892e+00 -2.312012258696159500e-04
1.057293899128447068e+00 -2.318520105519409963e-04
1.085869409915702244e+00 -2.324746844045285038e-04
1.114444920702957642e+00 -2.330691773430377438e-04
1.143020431490213040e+00 -2.336354224461220240e-04
1.171595942277468216e+00 -2.341733558163067662e-04
1.200171453064723615e+00 -2.346829182924589196e-04
1.228746963851979013e+00 -2.351640535717851646e-04
1.257322474639234189e+00 -2.356167084602937281e-04
1.285897985426489587e+00 -2.360408334886449067e-04
1.314473496213744985e+00 -2.364363825571309905e-04
1.343049007001000383e+00 -2.368033130216614637e-04
1.371624517788255559e+00 -2.371415862530073875e-04
1.400200028575510958e+00 -2.374511664736602291e-04
1.428775539362766356e+00 -2.377320214299882297e-04
1.457351050150021532e+00 -2.379841222609846245e-04
1.485926560937276930e+00 -2.382074441143491015e-04
1.514502071724532328e+00 -2.384019659684393346e-04
1.543077582511787504e+00 -2.385676691307722695e-04
1.571653093299042681e+00 -2.387045394349439353e-04
1.600228604086298079e+00 -2.388125660674186911e-04
1.628804114873553699e+00 -2.388917412221658939e-04
1.657379625660808875e+00 -2.389420609531167031e-04
1.685955136448064273e+00 -2.389635249047522547e-04
1.714530647235319449e+00 -2.389561363761391079e-04
1.743106158022574625e+00 -2.389199018694150123e-04
1.771681668809830246e+00 -2.388548315166376499e-04
1.800257179597085644e+00 -2.387609389303935832e-04
1.828832690384340820e+00 -2.386382414437576477e-04
1.857408201171595996e+00 -2.384867595820831516e-04
1.885983711958851394e+00 -2.383065176545152866e-04
1.914559222746107015e+00 -2.380975439044815875e-04
1.943134733533362191e+00 -2.378598689993956228e-04
1.971710244320617367e+00 -2.375935282649812652e-04
2.000285755107872543e+00 -2.372985602524793278e-04
2.028861265895128163e+00 -2.369750062623712371e-04
2.057436776682383783e+00 -2.366229123967632025e-04
2.086012287469638959e+00 -2.362423274965033920e-04
2.114587798256894136e+00 -2.358333037402740248e-04
2.143163309044149312e+00 -2.353958963422467959e-04
2.171738819831404488e+00 -2.349301646230623087e-04
2.200314330618660108e+00 -2.344361725666264918e-04
2.228889841405915284e+00 -2.339139858995827384e-04
2.257465352193170904e+00 -2.333636739842141099e-04
2.286040862980426080e+00 -2.327853103432985871e-04
2.314616373767681257e+00 -2.321789717081677721e-04
2.343191884554936433e+00 -2.315447378810703500e-04
2.371767395342192053e+00 -2.308826927708682757e-04
2.400342906129447229e+00 -2.301929240662422475e-04
2.428918416916702849e+00 -2.294755217300294939e-04
2.457493927703958025e+00 -2.287305796598219465e-04
2.486069438491213202e+00 -2.279581947762062875e-04
2.514644949278468378e+00 -2.271584682451232673e-04
2.543220460065723998e+00 -2.263315039551403124e-04
2.571795970852979174e+00 -2.254774090256837890e-04
2.600371481640234350e+00 -2.245962934843055724e-04
2.628946992427489970e+00 -2.236882716297270562e-04
2.657522503214745146e+00 -2.227534615162503329e-04
2.686098014002000767e+00 -2.217919837570119868e-04
2.714673524789255943e+00 -2.208039619255789245e-04
2.743249035576511119e+00 -2.197895230827847616e-04
2.771824546363766295e+00 -2.187487981505799436e-04
2.800400057151021915e+00 -2.176819202950087430e-04
2.828975567938277536e+00 -2.165890271424159691e-04
2.857551078725532712e+00 -2.154702590760808692e-04
