# Time(fs)    f(t)(a.u.)
0.000000000000000000e+00 -9.732710669709146803e-05
2.857551078725532531e-02 -1.004430007209458186e-04
5.715102157451065062e-02 -1.035446917119863783e-04
8.572653236176597247e-02 -1.066317926963457005e-04
1.143020431490213012e-01 -1.097039187181946630e-04
1.428775539362766300e-01 -1.127606876495234077e-04
1.714530647235319449e-01 -1.158017207514600862e-04
2.000285755107872598e-01 -1.188266384199721377e-04
2.286040862980426025e-01 -1.218350658736991972e-04
2.571795970852979729e-01 -1.248266301819816581e-04
2.857551078725532601e-01 -1.278009595678371519e-04
3.143306186598085472e-01 -1.307576869639649156e-04
3.429061294470638899e-01 -1.336964451510999163e-04
3.714816402343192325e-01 -1.366168714963228014e-04
4.000571510215745197e-01 -1.395186056682390201e-04
4.286326618088298623e-01 -1.424012894838196271e-04
4.572081725960852050e-01 -1.452645682078003745e-04
4.857836833833405477e-01 -1.481080886534878022e-04
5.143591941705959458e-01 -1.509315006662772986e-04
5.429347049578511220e-01 -1.537344575891792374e-04
5.715102157451065201e-01 -1.565166159948561337e-04
6.000857265323618073e-01 -1.592776348870843792e-04
6.286612373196170944e-01 -1.620171752937810410e-04
6.572367481068724926e-01 -1.647349025835865503e-04
6.858122588941277797e-01 -1.674304850523490769e-04
7.143877696813831779e-01 -1.701035929450772687e-04
7.429632804686384651e-01 -1.727539009203665928e-04
7.715387912558937522e-01 -1.753810866520146450e-04
8.001143020431490394e-01 -1.779848300959285541e-04
8.286898128304044375e-01 -1.805648155205034238e-04
8.572653236176597247e-01 -1.831207301417662971e-04
8.858408344049151228e-01 -1.856522640406302251e-04
9.144163451921704100e-01 -1.881591114763084618e-04
9.429918559794256971e-01 -1.906409699473889314e-04
9.715673667666810953e-01 -1.930975388928287556e-04
1.000142877553936271e+00 -1.955285234930490012e-04
1.028718388341191892e+00 -1.979336312271462537e-04
1.057293899128447068e+00 -2.003125730013292894e-04
1.085869409915702244e+00 -2.026650641543751295e-04
1.114444920702957642e+00 -2.049908241570266149e-04
1.143020431490213040e+00 -2.072895737682878053e-04
1.171595942277468216e+00 -2.095610397989957046e-04
1.200171453064723615e+00 -2.118049521055623936e-04
1.228746963851979013e+00 -2.140210439293120138e-04
1.257322474639234189e+00 -2.162090512031509073e-04
1.285897985426489587e+00 -2.183687163642602635e-04
1.314473496213744985e+00 -2.204997839922908504e-04
1.343049007001000383e+00 -2.226020033533750804e-04
1.371624517788255559e+00 -2.246751275257905997e-04
1.400200028575510958e+00 -2.267189125685421835e-04
1.428775539362766356e+00 -2.287331194207825418e-04
1.457351050150021532e+00 -2.307175121974779466e-04
1.485926560937276930e+00 -2.326718605506074939e-04
1.514502071724532328e+00 -2.345959383408409676e-04
1.543077582511787504e+00 -2.364895208976370547e-04
1.571653093299042681e+00 -2.383523894456468983e-04
1.600228604086298079e+00 -2.401843295639466652e-04
1.628804114873553699e+00 -2.419851309414859880e-04
1.657379625660808875e+00 -2.437545879424702331e-04
1.685955136448064273e+00 -2.454924980645082971e-04
1.714530647235319449e+00 -2.471986612882520360e-04
1.743106158022574625e+00 -2.488728863020261538e-04
1.771681668809830246e+00 -2.505149833009132077e-04
1.800257179597085644e+00 -2.521247673931594890e-04
1.828832690384340820e+00 -2.537020578461528534e-04
1.857408201171595996e+00 -2.552466785307821681e-04
1.885983711958851394e+00 -2.567584572481910760e-04
1.914559222746107015e+00 -2.582372277464387066e-04
1.943134733533362191e+00 -2.596828260458941876e-04
1.971710244320617367e+00 -2.610950930007913465e-04
2.000285755107872543e+00 -2.624738761686349784e-04
2.028861265895128163e+00 -2.638190234941336027e-04
2.057436776682383783e+00 -2.651303904912709689e-04
2.086012287469638959e+00 -2.664078365894014043e-04
2.114587798256894136e+00 -2.676512273118363352e-04
2.143163309044149312e+00 -2.688604285805670834e-04
2.171738819831404488e+00 -2.700353151135384110e-04
2.200314330618660108e+00 -2.711757640667800790e-04
2.228889841405915284e+00 -2.722816570711179243e-04
2.257465352193170904e+00 -2.733528806757596209e-04
2.286040862980426080e+00 -2.743893271598886897e-04
2.314616373767681257e+00 -2.753908906042001198e-04
2.343191884554936433e+00 -2.763574737409473197e-04
2.371767395342192053e+00 -2.772889804251306672e-04
2.400342906129447229e+00 -2.781853198967482719e-04
2.428918416916702849e+00 -2.790464074747302519e-04
2.457493927703958025e+00 -2.798721620340766060e-04
2.486069438491213202e+00 -2.806625076338815894e-04
2.514644949278468378e+00 -2.814173717356373413e-04
2.543220460065723998e+00 -2.821366852023094395e-04
2.571795970852979174e+00 -2.828203893947174043e-04
2.600371481640234350e+00 -2.834684261949557281e-04
2.628946992427489970e+00 -2.840807412600304931e-04
2.657522503214745146e+00 -2.846572874718403950e-04
2.686098014002000767e+00 -2.851980202520080945e-04
2.714673524789255943e+00 -2.857029022745813125e-04
2.743249035576511119e+00 -2.861718986649417189e-04
2.771824546363766295e+00 -2.866049792693682141e-04
2.800400057151021915e+00 -2.870021199505848526e-04
2.828975567938277536e+00 -2.873633006090466676e-04
2.857551078725532712e+00 -2.876885069644356829e-04
2.886126589512787888e+00 -2.879777254257112791e-04
2.914702100300043064e+00 -2.882309517113519756e-04
2.943277611087298240e+00 -2.884481863242652211e-04
2.971853121874553860e+00 -2.886294301400236335e-04
3.000428632661809036e+00 -2.887746911401946597e-04
3.029004143449064657e+00 -2.888839837758751944e-04
3.057579654236319833e+00 -2.889573240190647851e-04
3.086155165023575009e+00 -2.889947346080029458e-04
3.114730675810830629e+00 -2.889962406720197169e-04
3.143306186598085361e+00 -2.889618758938285095e-04
3.171881697385340981e+00 -2.888916763236750655e-04
3.200457208172596157e+00 -2.887856794270917977e-04
3.229032718959851778e+00 -2.886439337050779839e-04
3.257608229747107398e+00 -2.884664878746235933e-04
3.286183740534362130e+00 -2.882533964157022181e-04
3.314759251321617750e+00 -2.880047179381787581e-04
3.343334762108872926e+00 -2.877205163013878630e-04
3.371910272896128546e+00 -2.874008604353650944e-04
3.400485783683383723e+00 -2.870458223931847885e-04
3.429061294470638899e+00 -2.866554778810543073e-04
3.457636805257894519e+00 -2.862299103421228510e-04
3.486212316045149251e+00 -2.857692067403651238e-04
3.514787826832404871e+00 -2.852734570757534983e-04
3.543363337619660491e+00 -2.847427565476528047e-04
3.571938848406915668e+00 -2.841772030562927411e-04
3.600514359194171288e+00 -2.835769035201288419e-04
3.629089869981426020e+00 -2.829419652324975405e-04
3.657665380768681640e+00 -2.822725004043184294e-04
3.686240891555937260e+00 -2.815686277650286521e-04
3.714816402343191992e+00 -2.808304687793030611e-04
3.743391913130447612e+00 -2.800581499815195212e-04
3.771967423917702789e+00 -2.792517995277810582e-04
3.800542934704958409e+00 -2.784115528752786548e-04
3.829118445492214029e+00 -2.775375513028380259e-04
3.857693956279468761e+00 -2.766299365139783702e-04
3.886269467066724381e+00 -2.756888553219548170e-04
3.914844977853979113e+00 -2.747144608788527811e-04
3.943420488641234734e+00 -2.737069093480529918e-04
3.971995999428490354e+00 -2.726663596068748443e-04
4.000571510215745086e+00 -2.715929751780013631e-04
4.029147021003001150e+00 -2.704869247171268849e-04
4.057722531790256326e+00 -2.693483807133199566e-04
4.086298042577511502e+00 -2.681775198614490588e-04
4.114873553364767567e+00 -2.669745234692325964e-04
4.143449064152021855e+00 -2.657395759701594497e-04
