# Time(fs)    f(t)(a.u.)
0.000000000000000000e+00 -3.902800592296007268e-06
2.857551078725532531e-02 -3.918089163703800935e-06
5.715102157451065062e-02 -3.932897052922211322e-06
8.572653236176597247e-02 -3.947204283033982598e-06
1.143020431490213012e-01 -3.960990946592606106e-06
1.428775539362766300e-01 -3.974237214143947845e-06
1.714530647235319449e-01 -3.986923343051302641e-06
2.000285755107872598e-01 -3.999029685836507039e-06
2.286040862980426025e-01 -4.010536698209951414e-06
2.571795970852979729e-01 -4.021424947167607616e-06
2.857551078725532601e-01 -4.031675118753593811e-06
3.143306186598085472e-01 -4.041268028416740444e-06
3.429061294470638899e-01 -4.050184627549829438e-06
3.714816402343192325e-01 -4.058406011811458270e-06
4.000571510215745197e-01 -4.065913429692084166e-06
4.286326618088298623e-01 -4.072688290418621119e-06
4.572081725960852050e-01 -4.078712172156573316e-06
4.857836833833405477e-01 -4.083966830444170892e-06
5.143591941705959458e-01 -4.088434206039731239e-06
5.429347049578511220e-01 -4.092096433046613328e-06
5.715102157451065201e-01 -4.094935846609796143e-06
6.000857265323618073e-01 -4.096934990539519947e-06
6.286612373196170944e-01 -4.098076625461616868e-06
6.572367481068724926e-01 -4.098343736673377267e-06
6.858122588941277797e-01 -4.097719541821346896e-06
7.143877696813831779e-01 -4.096187498597127758e-06
7.429632804686384651e-01 -4.093731311907766958e-06
7.715387912558937522e-01 -4.090334942902957821e-06
8.001143020431490394e-01 -4.085982615555181466e-06
8.286898128304044375e-01 -4.080658823479849226e-06
8.572653236176597247e-01 -4.074348338170217105e-06
8.858408344049151228e-01 -4.067036216459895122e-06
9.144163451921704100e-01 -4.058707807168445886e-06
9.429918559794256971e-01 -4.049348758088480612e-06
9.715673667666810953e-01 -4.038945024319785690e-06
1.000142877553936271e+00 -4.027482874159939626e-06
1.028718388341191892e+00 -4.014948895942388850e-06
1.057293899128447068e+00 -4.001330005324608882e-06
1.085869409915702244e+00 -3.986613452234806179e-06
1.114444920702957642e+00 -3.970786827612320039e-06
1.143020431490213040e+00 -3.953838069762408509e-06
1.171595942277468216e+00 -3.935755470753981413e-06
1.200171453064723615e+00 -3.916527682818263415e-06
1.228746963851979013e+00 -3.896143725261112265e-06
1.257322474639234189e+00 -3.874592990286493981e-06
1.285897985426489587e+00 -3.851865248990594505e-06
1.314473496213744985e+00 -3.827950657968257414e-06
1.343049007001000383e+00 -3.802839764735586356e-06
1.371624517788255559e+00 -3.776523513630675139e-06
1.400200028575510958e+00 -3.748993252101863864e-06
1.428775539362766356e+00 -3.720240734975852400e-06
1.457351050150021532e+00 -3.690258129973540813e-06
1.485926560937276930e+00 -3.659038025982235721e-06
1.514502071724532328e+00 -3.626573436721297178e-06
1.543077582511787504e+00 -3.592857805110350266e-06
1.571653093299042681e+00 -3.557885008651249429e-06
1.600228604086298079e+00 -3.521649364448399980e-06
1.628804114873553699e+00 -3.484145634384568594e-06
1.657379625660808875e+00 -3.445369029756159301e-06
1.685955136448064273e+00 -3.405315215925224738e-06
1.714530647235319449e+00 -3.363980317168418488e-06
1.743106158022574625e+00 -3.321360920703052790e-06
1.771681668809830246e+00 -3.277454080456778015e-06
1.800257179597085644e+00 -3.232257322325899672e-06
1.828832690384340820e+00 -3.185768648449392315e-06
1.857408201171595996e+00 -3.137986538384544003e-06
1.885983711958851394e+00 -3.088909954795461011e-06
1.914559222746107015e+00 -3.038538347197377400e-06
1.943134733533362191e+00 -2.986871654240232125e-06
1.971710244320617367e+00 -2.933910309170391690e-06
2.000285755107872543e+00 -2.879655242174029051e-06
2.028861265895128163e+00 -2.824107882284659604e-06
2.057436776682383783e+00 -2.767270160822655684e-06
2.086012287469638959e+00 -2.709144515139934758e-06
2.114587798256894136e+00 -2.649733891465086763e-06
2.143163309044149312e+00 -2.589041745713431107e-06
2.171738819831404488e+00 -2.527072046476933276e-06
2.200314330618660108e+00 -2.463829277539852033e-06
2.228889841405915284e+00 -2.399318439902506957e-06
2.257465352193170904e+00 -2.333545053685203527e-06
2.286040862980426080e+00 -2.266515160437370294e-06
2.314616373767681257e+00 -2.198235324368952094e-06
2.343191884554936433e+00 -2.128712634228134276e-06
2.371767395342192053e+00 -2.057954704086305503e-06
