# Iteration    J_value
 (0.000000000000000000e+00+0.000000000000000000e+00j)  (1.518632597536898975e+05+1.505142872042575491e-12j)
 (1.000000000000000000e+00+0.000000000000000000e+00j)  (1.507872386081186705e+05-1.052207386993802344e-12j)
 (2.000000000000000000e+00+0.000000000000000000e+00j)  (1.497144876769229013e+05-5.519783847163904171e-12j)
 (3.000000000000000000e+00+0.000000000000000000e+00j)  (1.486506209880282986e+05+1.788599975826535749e-13j)
 (4.000000000000000000e+00+0.000000000000000000e+00j)  (1.475930710854364443e+05+2.701595748944813483e-13j)
 (5.000000000000000000e+00+0.000000000000000000e+00j)  (1.465418824971513241e+05-2.755954405483065545e-12j)
 (6.000000000000000000e+00+0.000000000000000000e+00j)  (1.454993287413952930e+05-3.669261319880093317e-12j)
 (7.000000000000000000e+00+0.000000000000000000e+00j)  (1.444620574635842349e+05+4.765899662945555228e-13j)
 (8.000000000000000000e+00+0.000000000000000000e+00j)  (1.434316671101996035e+05-1.252054259387868592e-12j)
 (9.000000000000000000e+00+0.000000000000000000e+00j)  (1.424067512692507298e+05+8.275887072236193196e-13j)
 (1.000000000000000000e+01+0.000000000000000000e+00j)  (1.413896621891201939e+05+4.618212685645485608e-12j)
 (1.100000000000000000e+01+0.000000000000000000e+00j)  (1.403767609909591265e+05+6.488337808578611110e-12j)
 (1.200000000000000000e+01+0.000000000000000000e+00j)  (1.393725039745093381e+05+3.525350044854650779e-12j)
 (1.300000000000000000e+01+0.000000000000000000e+00j)  (1.383710826036731596e+05+5.697519102805763141e-12j)
 (1.400000000000000000e+01+0.000000000000000000e+00j)  (1.373781198308341554e+05+2.373521003723607185e-12j)
 (1.500000000000000000e+01+0.000000000000000000e+00j)  (1.363917637308107514e+05+2.518216537861043908e-13j)
 (1.600000000000000000e+01+0.000000000000000000e+00j)  (1.354100967882485711e+05-1.608542694188317948e-12j)
 (1.700000000000000000e+01+0.000000000000000000e+00j)  (1.344365579910791421e+05-8.169673551256519554e-12j)
 (1.800000000000000000e+01+0.000000000000000000e+00j)  (1.334663422749408055e+05-3.771822016003668814e-12j)
 (1.900000000000000000e+01+0.000000000000000000e+00j)  (1.325017971748974815e+05-3.415377576712516048e-12j)
 (2.000000000000000000e+01+0.000000000000000000e+00j)  (1.315462010523196077e+05-3.732802060645222351e-12j)
 (2.100000000000000000e+01+0.000000000000000000e+00j)  (1.305928141701642744e+05+6.599472133807939488e-12j)
 (2.200000000000000000e+01+0.000000000000000000e+00j)  (1.296461552064149437e+05+3.722788187354431355e-13j)
 (2.300000000000000000e+01+0.000000000000000000e+00j)  (1.287042222169465240e+05+3.655238456404441447e-12j)
 (2.400000000000000000e+01+0.000000000000000000e+00j)  (1.277693443623263156e+05+1.221892786549493897e-12j)
 (2.500000000000000000e+01+0.000000000000000000e+00j)  (1.268393555705384206e+05+9.796023476481765307e-12j)
 (2.600000000000000000e+01+0.000000000000000000e+00j)  (1.259120926430929103e+05-3.578175653618491411e-12j)
 (2.700000000000000000e+01+0.000000000000000000e+00j)  (1.249941478482702223e+05-1.929077055579962726e-14j)
 (2.800000000000000000e+01+0.000000000000000000e+00j)  (1.240800084922980022e+05+4.087639681570828777e-14j)
 (2.900000000000000000e+01+0.000000000000000000e+00j)  (1.231716874348158017e+05+1.845696198305922321e-12j)
 (3.000000000000000000e+01+0.000000000000000000e+00j)  (1.222674282147569611e+05-4.797204462565488579e-13j)
 (3.100000000000000000e+01+0.000000000000000000e+00j)  (1.213697091467427672e+05-3.597768410325240811e-13j)
 (3.200000000000000000e+01+0.000000000000000000e+00j)  (1.204779538472603599e+05+7.376108740305203150e-12j)
 (3.300000000000000000e+01+0.000000000000000000e+00j)  (1.195913894537578017e+05+3.058613688720398101e-12j)
 (3.400000000000000000e+01+0.000000000000000000e+00j)  (1.187067089508020872e+05-2.111576428487873425e-12j)
 (3.500000000000000000e+01+0.000000000000000000e+00j)  (1.178291550315030036e+05-1.241777374551419797e-12j)
 (3.600000000000000000e+01+0.000000000000000000e+00j)  (1.169584565827012411e+05+3.213661130141741868e-12j)
 (3.700000000000000000e+01+0.000000000000000000e+00j)  (1.160902220910534525e+05-3.229986264557856450e-12j)
 (3.800000000000000000e+01+0.000000000000000000e+00j)  (1.152294567714342120e+05-7.620923882812814811e-13j)
 (3.900000000000000000e+01+0.000000000000000000e+00j)  (1.143747710961312696e+05+3.786433737694325031e-12j)
 (4.000000000000000000e+01+0.000000000000000000e+00j)  (1.135233843114510382e+05-1.269563150467993886e-12j)
 (4.100000000000000000e+01+0.000000000000000000e+00j)  (1.126758181258328550e+05+4.194491645808498400e-13j)
 (4.200000000000000000e+01+0.000000000000000000e+00j)  (1.118357550932794111e+05+1.431351955057013982e-12j)
 (4.300000000000000000e+01+0.000000000000000000e+00j)  (1.109988981381590129e+05-3.743462725955838139e-12j)
 (4.400000000000000000e+01+0.000000000000000000e+00j)  (1.101691293777907413e+05-3.977467905938322361e-12j)
 (4.500000000000000000e+01+0.000000000000000000e+00j)  (1.093429495738930127e+05-1.520773168203548658e-12j)
 (4.600000000000000000e+01+0.000000000000000000e+00j)  (1.085233443954287359e+05-2.315963507157427192e-13j)
 (4.700000000000000000e+01+0.000000000000000000e+00j)  (1.077080255720967543e+05-8.719373582159625520e-13j)
 (4.800000000000000000e+01+0.000000000000000000e+00j)  (1.068988287616052112e+05+5.846558032233138443e-12j)
 (4.900000000000000000e+01+0.000000000000000000e+00j)  (1.060938463312417734e+05+1.281281724981326393e-12j)
 (5.000000000000000000e+01+0.000000000000000000e+00j)  (1.052930505787100410e+05+3.244635182986036466e-12j)
 (5.100000000000000000e+01+0.000000000000000000e+00j)  (1.044969738933889021e+05-6.115997773722413606e-12j)
 (5.200000000000000000e+01+0.000000000000000000e+00j)  (1.037070776634174399e+05-3.666752155789792164e-13j)
 (5.300000000000000000e+01+0.000000000000000000e+00j)  (1.029236615182985697e+05+1.568578090278997605e-13j)
 (5.400000000000000000e+01+0.000000000000000000e+00j)  (1.021438029416550562e+05-5.556112336185572623e-13j)
 (5.500000000000000000e+01+0.000000000000000000e+00j)  (1.013671148205372883e+05-4.836389742208952833e-13j)
 (5.600000000000000000e+01+0.000000000000000000e+00j)  (1.005981338088190096e+05+2.787403246332872747e-12j)
 (5.700000000000000000e+01+0.000000000000000000e+00j)  (9.983411658926440577e+04-7.129581611738884099e-12j)
 (5.800000000000000000e+01+0.000000000000000000e+00j)  (9.907233344228929491e+04-8.860550673710922450e-12j)
 (5.900000000000000000e+01+0.000000000000000000e+00j)  (9.831868625859002350e+04+3.763118410583157682e-12j)
 (6.000000000000000000e+01+0.000000000000000000e+00j)  (9.756856403893619427e+04-1.083290779758225803e-13j)
 (6.100000000000000000e+01+0.000000000000000000e+00j)  (9.682187565813570109e+04+1.830605321881642322e-12j)
 (6.200000000000000000e+01+0.000000000000000000e+00j)  (9.608245425238346797e+04-4.164309849989379906e-12j)
 (6.300000000000000000e+01+0.000000000000000000e+00j)  (9.534745278675040754e+04+1.437869824987459723e-12j)
 (6.400000000000000000e+01+0.000000000000000000e+00j)  (9.461652974827677826e+04+1.780866090804981586e-12j)
 (6.500000000000000000e+01+0.000000000000000000e+00j)  (9.389124116400048661e+04+2.879934879787017207e-12j)
 (6.600000000000000000e+01+0.000000000000000000e+00j)  (9.317148035844473634e+04+1.062502028928879389e-11j)
 (6.700000000000000000e+01+0.000000000000000000e+00j)  (9.245588605160627048e+04+6.108061892886783069e-14j)
 (6.800000000000000000e+01+0.000000000000000000e+00j)  (9.174477633712913666e+04+4.320687258506052798e-12j)
 (6.900000000000000000e+01+0.000000000000000000e+00j)  (9.103748307463215315e+04-8.988882147619461835e-13j)
 (7.000000000000000000e+01+0.000000000000000000e+00j)  (9.033759174456571054e+04+6.828660792690272946e-13j)
 (7.100000000000000000e+01+0.000000000000000000e+00j)  (8.964168398219070514e+04-6.027199592921290207e-12j)
 (7.200000000000000000e+01+0.000000000000000000e+00j)  (8.894977818313088210e+04+1.394337343609378867e-12j)
 (7.300000000000000000e+01+0.000000000000000000e+00j)  (8.826090244506557065e+04+1.640659002081024486e-12j)
 (7.400000000000000000e+01+0.000000000000000000e+00j)  (8.757912551269739924e+04-2.276414296917153240e-12j)
 (7.500000000000000000e+01+0.000000000000000000e+00j)  (8.690243482379130728e+04+1.728992555504723746e-12j)
 (7.600000000000000000e+01+0.000000000000000000e+00j)  (8.622980620386986993e+04+2.013186684288427584e-12j)
 (7.700000000000000000e+01+0.000000000000000000e+00j)  (8.556273016364373325e+04-6.171862596032705269e-13j)
 (7.800000000000000000e+01+0.000000000000000000e+00j)  (8.489814782551965618e+04-5.484734665328451270e-12j)
 (7.900000000000000000e+01+0.000000000000000000e+00j)  (8.424057090144915855e+04-3.487786393358526741e-13j)
 (8.000000000000000000e+01+0.000000000000000000e+00j)  (8.358591279891043087e+04+7.895888327003349892e-13j)
 (8.100000000000000000e+01+0.000000000000000000e+00j)  (8.293713571792027506e+04-1.975379150388263882e-12j)
 (8.200000000000000000e+01+0.000000000000000000e+00j)  (8.229247541315435956e+04-1.203918535366337691e-13j)
 (8.300000000000000000e+01+0.000000000000000000e+00j)  (8.165089742257345642e+04+1.260482998602937598e-12j)
 (8.400000000000000000e+01+0.000000000000000000e+00j)  (8.101528726939567423e+04+1.834728620772189227e-12j)
 (8.500000000000000000e+01+0.000000000000000000e+00j)  (8.038506325927292346e+04+1.429202875763224014e-12j)
 (8.600000000000000000e+01+0.000000000000000000e+00j)  (7.975799234607644030e+04+2.284323394276048746e-12j)
 (8.700000000000000000e+01+0.000000000000000000e+00j)  (7.913654762143586413e+04-2.671968021081551375e-12j)
 (8.800000000000000000e+01+0.000000000000000000e+00j)  (7.851983821702990099e+04+1.611599611933839802e-12j)
 (8.900000000000000000e+01+0.000000000000000000e+00j)  (7.790815017931631883e+04-1.197263162714694463e-12j)
 (9.000000000000000000e+01+0.000000000000000000e+00j)  (7.729857401517243125e+04-2.382726592774992093e-12j)
 (9.100000000000000000e+01+0.000000000000000000e+00j)  (7.669532023996065254e+04-1.689176400545395579e-12j)
 (9.200000000000000000e+01+0.000000000000000000e+00j)  (7.609608677430076932e+04-1.960340408404904993e-12j)
 (9.300000000000000000e+01+0.000000000000000000e+00j)  (7.550149862026055052e+04-2.333875582029444275e-12j)
 (9.400000000000000000e+01+0.000000000000000000e+00j)  (7.491066940231682383e+04+5.140467979518562801e-12j)
 (9.500000000000000000e+01+0.000000000000000000e+00j)  (7.432460369379459007e+04+8.387588803792189447e-13j)
 (9.600000000000000000e+01+0.000000000000000000e+00j)  (7.374312796551163774e+04-2.837557756506647724e-12j)
 (9.700000000000000000e+01+0.000000000000000000e+00j)  (7.316610707374307094e+04-3.294117204299573856e-12j)
 (9.800000000000000000e+01+0.000000000000000000e+00j)  (7.259252413476043148e+04+2.226894959312377168e-12j)
 (9.900000000000000000e+01+0.000000000000000000e+00j)  (7.202307169713461190e+04+4.580587001621700372e-12j)
 (1.000000000000000000e+02+0.000000000000000000e+00j)  (7.146162583450689272e+04-7.594687300741100192e-13j)
 (1.010000000000000000e+02+0.000000000000000000e+00j)  (7.090053262530054781e+04+1.093798105617911189e-12j)
 (1.020000000000000000e+02+0.000000000000000000e+00j)  (7.034465795757171873e+04-2.035215806677912171e-12j)
 (1.030000000000000000e+02+0.000000000000000000e+00j)  (6.979444250748795457e+04+2.608377471588664740e-12j)
 (1.040000000000000000e+02+0.000000000000000000e+00j)  (6.924603148386017710e+04+8.500842881712445462e-13j)
 (1.050000000000000000e+02+0.000000000000000000e+00j)  (6.870410146994225215e+04-2.770306520989048213e-12j)
 (1.060000000000000000e+02+0.000000000000000000e+00j)  (6.816465193829467171e+04-7.182734803738805452e-13j)
 (1.070000000000000000e+02+0.000000000000000000e+00j)  (6.763037055192173284e+04+9.145637370635911707e-13j)
 (1.080000000000000000e+02+0.000000000000000000e+00j)  (6.710141985063691391e+04-1.611732420369608555e-12j)
 (1.090000000000000000e+02+0.000000000000000000e+00j)  (6.657482157876412384e+04-9.105542704229313218e-14j)
 (1.100000000000000000e+02+0.000000000000000000e+00j)  (6.605264426253954298e+04-1.800678191252090371e-12j)
 (1.110000000000000000e+02+0.000000000000000000e+00j)  (6.553549525013551465e+04+2.913458573959035177e-12j)
 (1.120000000000000000e+02+0.000000000000000000e+00j)  (6.502256670168976416e+04+1.036651448520476261e-12j)
 (1.130000000000000000e+02+0.000000000000000000e+00j)  (6.451287067459003447e+04+2.212796281155001958e-12j)
 (1.140000000000000000e+02+0.000000000000000000e+00j)  (6.400759071060061979e+04+1.364425431150240384e-12j)
 (1.150000000000000000e+02+0.000000000000000000e+00j)  (6.350714045564606204e+04-1.782963384066752380e-12j)
 (1.160000000000000000e+02+0.000000000000000000e+00j)  (6.300879352409886633e+04-1.751589767312487605e-12j)
 (1.170000000000000000e+02+0.000000000000000000e+00j)  (6.251648527512277360e+04-3.952565722777379775e-12j)
