# Time(fs)    f(t)(a.u.)
0.000000000000000000e+00 -2.011077856491381782e-04
2.857551078725532531e-02 -2.047189137850257020e-04
5.715102157451065062e-02 -2.083049553582702802e-04
8.572653236176597247e-02 -2.118654173302034270e-04
1.143020431490213012e-01 -2.153998059824756544e-04
1.428775539362766300e-01 -2.189076326543127368e-04
1.714530647235319449e-01 -2.223884144574420389e-04
2.000285755107872598e-01 -2.258416744675130440e-04
2.286040862980426025e-01 -2.292669438611342938e-04
2.571795970852979729e-01 -2.326637486465396229e-04
2.857551078725532601e-01 -2.360316019858631935e-04
3.143306186598085472e-01 -2.393700427794458727e-04
3.429061294470638899e-01 -2.426786082596124876e-04
3.714816402343192325e-01 -2.459568386722949429e-04
4.000571510215745197e-01 -2.492042789438573733e-04
4.286326618088298623e-01 -2.524204779955422891e-04
4.572081725960852050e-01 -2.556049885043624992e-04
4.857836833833405477e-01 -2.587573660214833346e-04
5.143591941705959458e-01 -2.618771714267232806e-04
5.429347049578511220e-01 -2.649639702425389846e-04
5.715102157451065201e-01 -2.680173270995192428e-04
6.000857265323618073e-01 -2.710368144238997374e-04
6.286612373196170944e-01 -2.740220122738861851e-04
6.572367481068724926e-01 -2.769725002467160707e-04
6.858122588941277797e-01 -2.798878646839552276e-04
7.143877696813831779e-01 -2.827676955762668982e-04
7.429632804686384651e-01 -2.856115888008377984e-04
7.715387912558937522e-01 -2.884191434916065543e-04
8.001143020431490394e-01 -2.911899639524697324e-04
8.286898128304044375e-01 -2.939236585328489364e-04
8.572653236176597247e-01 -2.966198397254000280e-04
8.858408344049151228e-01 -2.992781266185512456e-04
9.144163451921704100e-01 -3.018981430975149999e-04
9.429918559794256971e-01 -3.044795182412993986e-04
9.715673667666810953e-01 -3.070218855014247763e-04
1.000142877553936271e+00 -3.095248839403208279e-04
1.028718388341191892e+00 -3.119881577856857980e-04
1.057293899128447068e+00 -3.144113557218264614e-04
1.085869409915702244e+00 -3.167941309581055417e-04
1.114444920702957642e+00 -3.191361444287755004e-04
1.143020431490213040e+00 -3.214370589856758195e-04
1.171595942277468216e+00 -3.236965457926394897e-04
1.200171453064723615e+00 -3.259142821698471772e-04
1.228746963851979013e+00 -3.280899484195661311e-04
1.257322474639234189e+00 -3.302232320759835790e-04
1.285897985426489587e+00 -3.323138257209161091e-04
1.314473496213744985e+00 -3.343614255750727198e-04
1.343049007001000383e+00 -3.363657375783992180e-04
1.371624517788255559e+00 -3.383264701157060882e-04
1.400200028575510958e+00 -3.402433374126017664e-04
1.428775539362766356e+00 -3.421160629774641746e-04
1.457351050150021532e+00 -3.439443752098650755e-04
1.485926560937276930e+00 -3.457280060316488208e-04
1.514502071724532328e+00 -3.474666942956755817e-04
1.543077582511787504e+00 -3.491601856146695740e-04
1.571653093299042681e+00 -3.508082305690440883e-04
1.600228604086298079e+00 -3.524105858042006077e-04
1.628804114873553699e+00 -3.539670163326597333e-04
1.657379625660808875e+00 -3.554772914611106565e-04
1.685955136448064273e+00 -3.569411869984242289e-04
1.714530647235319449e+00 -3.583584876413558706e-04
1.743106158022574625e+00 -3.597289788518745241e-04
1.771681668809830246e+00 -3.610524548774128616e-04
1.800257179597085644e+00 -3.623287174649890354e-04
1.828832690384340820e+00 -3.635575750934022911e-04
1.857408201171595996e+00 -3.647388437550728394e-04
1.885983711958851394e+00 -3.658723427351986165e-04
1.914559222746107015e+00 -3.669579005060626792e-04
1.943134733533362191e+00 -3.679953491650000573e-04
1.971710244320617367e+00 -3.689845270559110571e-04
2.000285755107872543e+00 -3.699252839312508045e-04
2.028861265895128163e+00 -3.708174723245044428e-04
2.057436776682383783e+00 -3.716609522274145973e-04
2.086012287469638959e+00 -3.724555883753894771e-04
2.114587798256894136e+00 -3.732012528352977084e-04
2.143163309044149312e+00 -3.738978285397814762e-04
2.171738819831404488e+00 -3.745452007207242750e-04
2.200314330618660108e+00 -3.751432636743820613e-04
2.228889841405915284e+00 -3.756919173160688536e-04
2.257465352193170904e+00 -3.761910695061350092e-04
2.286040862980426080e+00 -3.766406351595822906e-04
2.314616373767681257e+00 -3.770405340695509350e-04
2.343191884554936433e+00 -3.773906934610323752e-04
2.371767395342192053e+00 -3.776910495369042412e-04
2.400342906129447229e+00 -3.779415436641586331e-04
2.428918416916702849e+00 -3.781421232863239521e-04
2.457493927703958025e+00 -3.782927432605006886e-04
2.486069438491213202e+00 -3.783933668379919836e-04
2.514644949278468378e+00 -3.784439618395042107e-04
2.543220460065723998e+00 -3.784445016493162410e-04
2.571795970852979174e+00 -3.783949712202304286e-04
2.600371481640234350e+00 -3.782953614820385932e-04
