# Time(fs)    f(t)(a.u.)
0.000000000000000000e+00 -8.662817152342008878e-06
2.857551078725532531e-02 -8.723472241857647955e-06
5.715102157451065062e-02 -8.783018426751940948e-06
8.572653236176597247e-02 -8.841429814311731531e-06
1.143020431490213012e-01 -8.898680662901674592e-06
1.428775539362766300e-01 -8.954745393084418502e-06
1.714530647235319449e-01 -9.009598597632819151e-06
2.000285755107872598e-01 -9.063215052201728381e-06
2.286040862980426025e-01 -9.115569723110493740e-06
2.571795970852979729e-01 -9.166637770475728473e-06
2.857551078725532601e-01 -9.216394552697792630e-06
3.143306186598085472e-01 -9.264815656988492366e-06
3.429061294470638899e-01 -9.311876893602865198e-06
3.714816402343192325e-01 -9.357554307149853196e-06
4.000571510215745197e-01 -9.401824183742043720e-06
4.286326618088298623e-01 -9.444663061318634434e-06
4.572081725960852050e-01 -9.486047739760204402e-06
4.857836833833405477e-01 -9.525955288373505480e-06
5.143591941705959458e-01 -9.564363054559585841e-06
5.429347049578511220e-01 -9.601248673620835691e-06
5.715102157451065201e-01 -9.636590076012753125e-06
6.000857265323618073e-01 -9.670365494025873643e-06
6.286612373196170944e-01 -9.702553473410833177e-06
6.572367481068724926e-01 -9.733132877697219684e-06
6.858122588941277797e-01 -9.762082899655473908e-06
7.143877696813831779e-01 -9.789383077459458781e-06
7.429632804686384651e-01 -9.815013287512549449e-06
7.715387912558937522e-01 -9.838953759924973344e-06
8.001143020431490394e-01 -9.861185087275856111e-06
8.286898128304044375e-01 -9.881688231800053913e-06
8.572653236176597247e-01 -9.900444533596836121e-06
8.858408344049151228e-01 -9.917435719253485396e-06
9.144163451921704100e-01 -9.932643906913421076e-06
9.429918559794256971e-01 -9.946051613725035714e-06
9.715673667666810953e-01 -9.957641768541617498e-06
1.000142877553936271e+00 -9.967397715046617232e-06
1.028718388341191892e+00 -9.975303218593666382e-06
1.057293899128447068e+00 -9.981342476472968768e-06
1.085869409915702244e+00 -9.985500121776816730e-06
1.114444920702957642e+00 -9.987761230693008982e-06
1.143020431490213040e+00 -9.988111331009686509e-06
1.171595942277468216e+00 -9.986536406271709687e-06
1.200171453064723615e+00 -9.983022904240225359e-06
1.228746963851979013e+00 -9.977557750580687070e-06
1.257322474639234189e+00 -9.970128344364356262e-06
1.285897985426489587e+00 -9.960722573209905586e-06
1.314473496213744985e+00 -9.949328820435848124e-06
1.343049007001000383e+00 -9.935935959491922560e-06
1.371624517788255559e+00 -9.920533363129266689e-06
1.400200028575510958e+00 -9.903110917897465923e-06
1.428775539362766356e+00 -9.883659020219887127e-06
1.457351050150021532e+00 -9.862168592271951562e-06
1.485926560937276930e+00 -9.838631086195545627e-06
1.514502071724532328e+00 -9.813038483373169522e-06
1.543077582511787504e+00 -9.785383300161720115e-06
1.571653093299042681e+00 -9.755658596637557236e-06
1.600228604086298079e+00 -9.723857978289197389e-06
1.628804114873553699e+00 -9.689975601760722284e-06
1.657379625660808875e+00 -9.654006186699159222e-06
1.685955136448064273e+00 -9.615945010767957472e-06
1.714530647235319449e+00 -9.575787916949921692e-06
1.743106158022574625e+00 -9.533531322361933136e-06
1.771681668809830246e+00 -9.489172221088305360e-06
1.800257179597085644e+00 -9.442708184252473699e-06
1.828832690384340820e+00 -9.394137364134400403e-06
1.857408201171595996e+00 -9.343458501543232416e-06
1.885983711958851394e+00 -9.290670930001633976e-06
1.914559222746107015e+00 -9.235774581879541817e-06
1.943134733533362191e+00 -9.178769977992678507e-06
1.971710244320617367e+00 -9.119658239700171763e-06
2.000285755107872543e+00 -9.058441109852661801e-06
2.028861265895128163e+00 -8.995120927314766618e-06
2.057436776682383783e+00 -8.929700640726477310e-06
2.086012287469638959e+00 -8.862183810140620142e-06
2.114587798256894136e+00 -8.792574610026005088e-06
2.143163309044149312e+00 -8.720877840158533110e-06
2.171738819831404488e+00 -8.647098917037742056e-06
2.200314330618660108e+00 -8.571243876741134888e-06
2.228889841405915284e+00 -8.493319376511243300e-06
2.257465352193170904e+00 -8.413332706878366642e-06
2.286040862980426080e+00 -8.331291784312698325e-06
2.314616373767681257e+00 -8.247205150470466497e-06
2.343191884554936433e+00 -8.161081982419680006e-06
2.371767395342192053e+00 -8.072932083829069760e-06
2.400342906129447229e+00 -7.982765893349093496e-06
2.428918416916702849e+00 -7.890594483148954019e-06
2.457493927703958025e+00 -7.796429554796285367e-06
2.486069438491213202e+00 -7.700283447727699113e-06
2.514644949278468378e+00 -7.602169139091419206e-06
2.543220460065723998e+00 -7.502100231586148726e-06
2.571795970852979174e+00 -7.400090961516459941e-06
2.600371481640234350e+00 -7.296156205462985640e-06
2.628946992427489970e+00 -7.190311474574058279e-06
2.657522503214745146e+00 -7.082572912111014421e-06
2.686098014002000767e+00 -6.972957289462922515e-06
2.714673524789255943e+00 -6.861482017803446921e-06
2.743249035576511119e+00 -6.748165135689795981e-06
2.771824546363766295e+00 -6.633025308983959811e-06
2.800400057151021915e+00 -6.516081828303823842e-06
2.828975567938277536e+00 -6.397354615632179811e-06
2.857551078725532712e+00 -6.276864218803335788e-06
2.886126589512787888e+00 -6.154631809229207109e-06
2.914702100300043064e+00 -6.030679177654527643e-06
2.943277611087298240e+00 -5.905028733025331520e-06
2.971853121874553860e+00 -5.777703500261140428e-06
3.000428632661809036e+00 -5.648727115232851066e-06
3.029004143449064657e+00 -5.518123827188108105e-06
3.057579654236319833e+00 -5.385918495096685670e-06
3.086155165023575009e+00 -5.252136582454665271e-06
3.114730675810830629e+00 -5.116804153124024261e-06
3.143306186598085361e+00 -4.979947871484290314e-06
3.171881697385340981e+00 -4.841594994328761223e-06
3.200457208172596157e+00 -4.701773365977315374e-06
3.229032718959851778e+00 -4.560511423753746071e-06
3.257608229747107398e+00 -4.417838187388825399e-06
3.286183740534362130e+00 -4.273783255921177540e-06
3.314759251321617750e+00 -4.128376802630754585e-06
3.343334762108872926e+00 -3.981649568011435312e-06
3.371910272896128546e+00 -3.833632858065379504e-06
3.400485783683383723e+00 -3.684358540544937154e-06
3.429061294470638899e+00 -3.533859034743041445e-06
3.457636805257894519e+00 -3.382167316453271909e-06
3.486212316045149251e+00 -3.229316904317235074e-06
3.514787826832404871e+00 -3.075341853605997553e-06
3.543363337619660491e+00 -2.920276752975787214e-06
3.571938848406915668e+00 -2.764156719305631040e-06
3.600514359194171288e+00 -2.607017391664777999e-06
3.629089869981426020e+00 -2.448894924212176434e-06
3.657665380768681640e+00 -2.289825979753132975e-06
3.686240891555937260e+00 -2.129847725002577240e-06
3.714816402343191992e+00 -1.968997821837425634e-06
3.743391913130447612e+00 -1.807314419776155709e-06
3.771967423917702789e+00 -1.644836151191582194e-06
3.800542934704958409e+00 -1.481602122506888445e-06
3.829118445492214029e+00 -1.317651909972149917e-06
3.857693956279468761e+00 -1.153025549398202308e-06
3.886269467066724381e+00 -9.877635286105700797e-07
3.914844977853979113e+00 -8.219067809055698574e-07
3.943420488641234734e+00 -6.554966769679451262e-07
3.971995999428490354e+00 -4.885750180410055845e-07
4.000571510215745086e+00 -3.211840254644072644e-07
4.029147021003001150e+00 -1.533663332931116637e-07
4.057722531790256326e+00 1.483501968696534894e-08
4.086298042577511502e+00 1.833765986813414831e-07
4.114873553364767567e+00 3.522145817336762714e-07
4.143449064152021855e+00 5.213047684114225642e-07
4.172024574939277919e+00 6.906025879668675331e-07
4.200600085726532207e+00 8.600631096262872029e-07
4.229175596513788271e+00 1.029641051797498250e-06
4.257751107301043447e+00 1.199290788711036025e-06
4.286326618088298623e+00 1.368966364317873996e-06
4.314902128875554688e+00 1.538621499996666963e-06
4.343477639662808976e+00 1.708209604910441106e-06
4.372053150450065040e+00 1.877683785738436105e-06
4.400628661237320216e+00 2.046996854468754673e-06
4.429204172024575392e+00 2.216101336370152578e-06
4.457779682811830568e+00 2.384949485048135681e-06
4.486355193599085744e+00 2.553493292962462370e-06
4.514930704386341809e+00 2.721684499719543389e-06
4.543506215173596097e+00 2.889474602447266023e-06
4.572081725960852161e+00 3.056814867184226635e-06
4.600657236748107337e+00 3.223656340330656424e-06
4.629232747535362513e+00 3.389949859255704062e-06
4.657808258322618578e+00 3.555646061371251580e-06
4.686383769109872865e+00 3.720695397707699353e-06
4.714959279897128930e+00 3.885048141258066485e-06
4.743534790684384106e+00 4.048654399614980809e-06
4.772110301471639282e+00 4.211464126759198944e-06
4.800685812258894458e+00 4.373427134137973078e-06
4.829261323046149634e+00 4.534493101610022773e-06
4.857836833833405699e+00 4.694611589187006580e-06
4.886412344620660875e+00 4.853732050253981782e-06
4.914987855407916051e+00 5.011803843182698749e-06
4.943563366195171227e+00 5.168776243472534980e-06
4.972138876982426403e+00 5.324598449329824047e-06
5.000714387769681579e+00 5.479219597654128637e-06
5.029289898556936755e+00 5.632588780655897880e-06
5.057865409344192820e+00 5.784655053573876865e-06
5.086440920131447996e+00 5.935367450535685914e-06
5.115016430918703172e+00 6.084674990170880922e-06
5.143591941705958348e+00 6.232526691894122459e-06
5.172167452493213524e+00 6.378871587984876108e-06
5.200742963280468700e+00 6.523658737138100711e-06
5.229318474067724765e+00 6.666837236092967193e-06
5.257893984854979941e+00 6.808356231642315301e-06
5.286469495642235117e+00 6.948164934549756450e-06
5.315045006429490293e+00 7.086212631798564655e-06
5.343620517216745469e+00 7.222448696494968910e-06
5.372196028004001533e+00 7.356822602393383334e-06
5.400771538791256710e+00 7.489283937602269317e-06
5.429347049578511886e+00 7.619782416657250171e-06
5.457922560365767062e+00 7.748267893557846049e-06
5.486498071153022238e+00 7.874690375459676830e-06
5.515073581940278302e+00 7.999000033376800489e-06
5.543649092727532590e+00 8.121147216538149907e-06
5.572224603514788654e+00 8.241082465643642538e-06
5.600800114302043831e+00 8.358756523823577189e-06
5.629375625089299007e+00 8.474120351227616094e-06
5.657951135876555071e+00 8.587125137531468640e-06
5.686526646663809359e+00 8.697722314781290500e-06
5.715102157451065423e+00 8.805863570599818367e-06
5.743677668238319711e+00 8.911500862183706294e-06
5.772253179025575776e+00 9.014586426896125014e-06
5.800828689812830952e+00 9.115072798015342294e-06
5.829404200600086128e+00 9.212912812617701124e-06
5.857979711387342192e+00 9.308059635635459452e-06
5.886555222174596480e+00 9.400466760846556651e-06
5.915130732961852544e+00 9.490088027211564977e-06
5.943706243749107720e+00 9.576877637541933197e-06
5.972281754536362897e+00 9.660790162922694587e-06
6.000857265323618073e+00 9.741780558236691966e-06
6.029432776110873249e+00 9.819804181339192873e-06
6.058008286898129313e+00 9.894816796249816329e-06
6.086583797685383601e+00 9.966774590089646114e-06
6.115159308472639665e+00 1.003563419194677715e-05
6.143734819259894842e+00 1.010135267540195094e-05
6.172310330047150018e+00 1.016388757373544814e-05
6.200885840834406082e+00 1.022319690079853268e-05
6.229461351621661258e+00 1.027923915392089403e-05
6.258036862408916434e+00 1.033197332903115605e-05
6.286612373196170722e+00 1.038135893796623743e-05
6.315187883983426786e+00 1.042735601214316677e-05
6.343763394770681963e+00 1.046992512065279726e-05
6.372338905557938027e+00 1.050902738687462051e-05
6.400914416345192315e+00 1.054462449140992310e-05
6.429489927132447491e+00 1.057667868811617446e-05
6.458065437919703555e+00 1.060515282056181247e-05
6.486640948706958731e+00 1.063001032479172979e-05
6.515216459494214796e+00 1.065121524728464343e-05
6.543791970281469084e+00 1.066873226067246088e-05
6.572367481068724260e+00 1.068252666694612369e-05
6.600942991855980324e+00 1.069256441261436823e-05
6.629518502643235500e+00 1.069881210544639751e-05
6.658094013430491565e+00 1.070123701774256843e-05
6.686669524217745852e+00 1.069980710148584948e-05
6.715245035005001029e+00 1.069449100389896658e-05
6.743820545792257093e+00 1.068525807103286154e-05
6.772396056579512269e+00 1.067207836246345908e-05
6.800971567366767445e+00 1.065492266651660635e-05
6.829547078154021733e+00 1.063376250372702000e-05
6.858122588941277797e+00 1.060857014110097094e-05
6.886698099728532974e+00 1.057931860674975081e-05
6.915273610515789038e+00 1.054598169326032106e-05
6.943849121303044214e+00 1.050853397127444539e-05
6.972424632090298502e+00 1.046695080389660667e-05
7.001000142877554566e+00 1.042120834942190707e-05
7.029575653664809742e+00 1.037128357569143336e-05
7.058151164452065807e+00 1.031715427346865032e-05
7.086726675239320983e+00 1.025879905831037628e-05
7.115302186026575271e+00 1.019619738426636871e-05
7.143877696813831335e+00 1.012932955956164290e-05
7.172453207601086511e+00 1.005817674680779143e-05
7.201028718388342575e+00 9.982720975821028725e-06
7.229604229175597752e+00 9.902945155080481775e-06
7.258179739962852040e+00 9.818833075468521592e-06
7.286755250750107216e+00 9.730369422783333825e-06
7.315330761537363280e+00 9.637539788674015845e-06
7.343906272324618456e+00 9.540330672825603266e-06
7.372481783111874520e+00 9.438729495056723146e-06
7.401057293899128808e+00 9.332724607716890176e-06
7.429632804686383984e+00 9.222305295260879403e-06
7.458208315473640049e+00 9.107461785739293973e-06
7.486783826260895225e+00 8.988185263628625701e-06
7.515359337048151289e+00 8.864467869780732944e-06
7.543934847835405577e+00 8.736302712861093901e-06
7.572510358622660753e+00 8.603683878817361023e-06
7.601085869409916818e+00 8.466606432279899500e-06
7.629661380197171994e+00 8.325066426807994151e-06
7.658236890984428058e+00 8.179060913935077101e-06
7.686812401771682346e+00 8.028587944316594639e-06
7.715387912558937522e+00 7.873646576566614073e-06
7.743963423346193586e+00 7.714236883413666160e-06
7.772538934133448763e+00 7.550359959541281023e-06
7.801114444920704827e+00 7.382017926490736820e-06
7.829689955707958227e+00 7.209213939097753744e-06
7.858265466495214291e+00 7.031952185805886050e-06
7.886840977282469467e+00 6.850237897834578820e-06
7.915416488069725531e+00 6.664077355639517904e-06
7.943991998856980707e+00 6.473477888599713075e-06
7.972567509644234995e+00 6.278447882991702517e-06
8.001143020431490172e+00 6.078996788574754571e-06
8.029718531218746236e+00 5.875135118417383529e-06
8.058294042006002300e+00 5.666874455630906655e-06
8.086869552793258364e+00 5.454227460273573320e-06
8.115445063580512652e+00 5.237207865786402820e-06
8.144020574367766940e+00 5.015830484638035559e-06
8.172596085155023005e+00 4.790111215469041758e-06
8.201171595942279069e+00 4.560067042400406297e-06
8.229747106729535133e+00 4.325716039476562961e-06
8.258322617516789421e+00 4.087077373855962567e-06
8.286898128304043709e+00 3.844171303273108998e-06
8.315473639091299773e+00 3.597019180869315150e-06
8.344049149878555838e+00 3.345643459589872885e-06
8.372624660665810126e+00 3.090067690587922783e-06
8.401200171453064414e+00 2.830316524151743880e-06
8.429775682240320478e+00 2.566415719337020920e-06
8.458351193027576542e+00 2.298392135115596537e-06
8.486926703814832607e+00 2.026273733929029006e-06
8.515502214602086895e+00 1.750089581215603752e-06
8.544077725389341182e+00 1.469869844528789946e-06
8.572653236176597247e+00 1.185645797106641586e-06
8.601228746963853311e+00 8.974498198884251821e-07
8.629804257751109375e+00 6.053153956349242450e-07
8.658379768538363663e+00 3.092771110013029778e-07
8.686955279325617951e+00 9.370657481304804961e-09
8.715530790112874016e+00 -2.943671728798652347e-07
8.744106300900130080e+00 -6.018984860266272453e-07
8.772681811687386144e+00 -9.131842873514637899e-07
