# Iteration    J_value
 (0.000000000000000000e+00+0.000000000000000000e+00j)  (3.662910067831160887e+01+2.756211244687897089e-15j)
 (1.000000000000000000e+00+0.000000000000000000e+00j)  (3.629025777135458242e+01-2.042565943752139408e-16j)
 (2.000000000000000000e+00+0.000000000000000000e+00j)  (3.595286284489879591e+01-1.787363599437813208e-15j)
 (3.000000000000000000e+00+0.000000000000000000e+00j)  (3.561746902734179798e+01-8.653451011171467954e-16j)
 (4.000000000000000000e+00+0.000000000000000000e+00j)  (3.528477287002174023e+01+3.173390717864219001e-15j)
 (5.000000000000000000e+00+0.000000000000000000e+00j)  (3.495465133688954751e+01+9.119810907405259000e-16j)
 (6.000000000000000000e+00+0.000000000000000000e+00j)  (3.462627557563229885e+01+3.378275421735762380e-15j)
 (7.000000000000000000e+00+0.000000000000000000e+00j)  (3.430045546639458109e+01+1.300265095906649691e-15j)
 (8.000000000000000000e+00+0.000000000000000000e+00j)  (3.397628205316170380e+01+5.403995216719608231e-15j)
 (9.000000000000000000e+00+0.000000000000000000e+00j)  (3.365596107070371090e+01+3.321140703193205245e-15j)
 (1.000000000000000000e+01+0.000000000000000000e+00j)  (3.333669839098282495e+01-3.040141661219646437e-16j)
 (1.100000000000000000e+01+0.000000000000000000e+00j)  (3.301951627469018291e+01+1.077454565338609030e-15j)
 (1.200000000000000000e+01+0.000000000000000000e+00j)  (3.270454010871743122e+01+6.951128939019209436e-16j)
 (1.300000000000000000e+01+0.000000000000000000e+00j)  (3.239270211767627927e+01-1.872702559672828393e-15j)
 (1.400000000000000000e+01+0.000000000000000000e+00j)  (3.208196698110134548e+01+5.767988222576969750e-16j)
 (1.500000000000000000e+01+0.000000000000000000e+00j)  (3.177410814441418552e+01+1.002480162585629709e-15j)
 (1.600000000000000000e+01+0.000000000000000000e+00j)  (3.146820206153478949e+01-7.258411632789225049e-16j)
 (1.700000000000000000e+01+0.000000000000000000e+00j)  (3.116387714238450002e+01+7.598868619324344786e-16j)
 (1.800000000000000000e+01+0.000000000000000000e+00j)  (3.086224100188362129e+01-5.856781521327461217e-16j)
 (1.900000000000000000e+01+0.000000000000000000e+00j)  (3.056270285944573573e+01-6.296041551637558206e-17j)
 (2.000000000000000000e+01+0.000000000000000000e+00j)  (3.026531801279631395e+01+5.029140960298130193e-16j)
 (2.100000000000000000e+01+0.000000000000000000e+00j)  (2.997021317130039364e+01+4.340651097295853288e-15j)
 (2.200000000000000000e+01+0.000000000000000000e+00j)  (2.967672436963093929e+01+2.779003717417167353e-15j)
 (2.300000000000000000e+01+0.000000000000000000e+00j)  (2.938529944424358575e+01+9.084998161973099139e-16j)
 (2.400000000000000000e+01+0.000000000000000000e+00j)  (2.909629263608825056e+01+1.152789888606887037e-16j)
 (2.500000000000000000e+01+0.000000000000000000e+00j)  (2.880954463413933553e+01+1.727474733206247181e-16j)
 (2.600000000000000000e+01+0.000000000000000000e+00j)  (2.852418018415179191e+01-1.370943460067541202e-15j)
 (2.700000000000000000e+01+0.000000000000000000e+00j)  (2.824210499528813401e+01-1.394721457780440885e-15j)
 (2.800000000000000000e+01+0.000000000000000000e+00j)  (2.796107052827437656e+01-1.226523727063187531e-16j)
 (2.900000000000000000e+01+0.000000000000000000e+00j)  (2.768232548587841535e+01-8.638464462642619880e-16j)
 (3.000000000000000000e+01+0.000000000000000000e+00j)  (2.740554471308171003e+01+1.454698182412791312e-15j)
 (3.100000000000000000e+01+0.000000000000000000e+00j)  (2.713089300717920338e+01-2.906940543953477953e-15j)
 (3.200000000000000000e+01+0.000000000000000000e+00j)  (2.685793184395037159e+01+1.380581310044371457e-15j)
 (3.300000000000000000e+01+0.000000000000000000e+00j)  (2.658698935894527438e+01+1.758401790215631588e-15j)
 (3.400000000000000000e+01+0.000000000000000000e+00j)  (2.631878089585245561e+01-3.658971977280113318e-15j)
 (3.500000000000000000e+01+0.000000000000000000e+00j)  (2.605195284368197761e+01+1.222417903210548943e-15j)
 (3.600000000000000000e+01+0.000000000000000000e+00j)  (2.578706093804291655e+01+7.920211347207734059e-16j)
 (3.700000000000000000e+01+0.000000000000000000e+00j)  (2.552453661967055965e+01-5.026925316952191198e-16j)
 (3.800000000000000000e+01+0.000000000000000000e+00j)  (2.526313547337594301e+01+1.639323236023429279e-15j)
 (3.900000000000000000e+01+0.000000000000000000e+00j)  (2.500458211331645586e+01+2.863766348767466225e-15j)
 (4.000000000000000000e+01+0.000000000000000000e+00j)  (2.474700294521162292e+01+1.809726116034555414e-15j)
 (4.100000000000000000e+01+0.000000000000000000e+00j)  (2.449235927934117640e+01+1.789150023509574611e-15j)
 (4.200000000000000000e+01+0.000000000000000000e+00j)  (2.423904611271769483e+01-6.793860510830412404e-16j)
 (4.300000000000000000e+01+0.000000000000000000e+00j)  (2.398779081624887866e+01-1.032343952539927017e-15j)
 (4.400000000000000000e+01+0.000000000000000000e+00j)  (2.373815989618566391e+01-8.832893128350450304e-16j)
 (4.500000000000000000e+01+0.000000000000000000e+00j)  (2.349083348779152303e+01+1.268406869112404088e-15j)
 (4.600000000000000000e+01+0.000000000000000000e+00j)  (2.324556642782924953e+01+2.146262397412933672e-15j)
 (4.700000000000000000e+01+0.000000000000000000e+00j)  (2.300132635846278006e+01+6.537273458948157316e-16j)
 (4.800000000000000000e+01+0.000000000000000000e+00j)  (2.275957636678505125e+01-5.644574552295788073e-15j)
 (4.900000000000000000e+01+0.000000000000000000e+00j)  (2.251967612953838582e+01-3.200278461285402983e-15j)
 (5.000000000000000000e+01+0.000000000000000000e+00j)  (2.228152944953048475e+01-1.070540824196396948e-15j)
 (5.100000000000000000e+01+0.000000000000000000e+00j)  (2.204534120491220150e+01+1.253475403876709252e-15j)
 (5.200000000000000000e+01+0.000000000000000000e+00j)  (2.181052171449964661e+01+2.049209914352121592e-15j)
 (5.300000000000000000e+01+0.000000000000000000e+00j)  (2.157790673931165060e+01-2.508390502928637956e-16j)
 (5.400000000000000000e+01+0.000000000000000000e+00j)  (2.134678629447825315e+01-1.011746535602111452e-15j)
 (5.500000000000000000e+01+0.000000000000000000e+00j)  (2.111801089850444058e+01+1.008071829523051044e-15j)
 (5.600000000000000000e+01+0.000000000000000000e+00j)  (2.089041586826055052e+01-7.867620772273842745e-16j)
 (5.700000000000000000e+01+0.000000000000000000e+00j)  (2.066496195474525521e+01-4.896836204515958896e-16j)
 (5.800000000000000000e+01+0.000000000000000000e+00j)  (2.044119770580898887e+01-1.752692362050821868e-15j)
 (5.900000000000000000e+01+0.000000000000000000e+00j)  (2.021910454725629691e+01-4.750960085239759780e-17j)
 (6.000000000000000000e+01+0.000000000000000000e+00j)  (1.999882805944535491e+01+1.738575120170087713e-15j)
 (6.100000000000000000e+01+0.000000000000000000e+00j)  (1.978072956359478241e+01-6.056836290061057640e-17j)
 (6.200000000000000000e+01+0.000000000000000000e+00j)  (1.956356215622684402e+01-1.093250772676350866e-15j)
 (6.300000000000000000e+01+0.000000000000000000e+00j)  (1.934867210085965183e+01-1.301188063254435510e-15j)
 (6.400000000000000000e+01+0.000000000000000000e+00j)  (1.913533688110937447e+01-2.106789161962472365e-15j)
 (6.500000000000000000e+01+0.000000000000000000e+00j)  (1.892333125383023429e+01+1.630969661163480316e-15j)
 (6.600000000000000000e+01+0.000000000000000000e+00j)  (1.871364397109774913e+01-5.872009946234830252e-17j)
 (6.700000000000000000e+01+0.000000000000000000e+00j)  (1.850524018204589893e+01-5.088305987608725914e-16j)
 (6.800000000000000000e+01+0.000000000000000000e+00j)  (1.829911685905125651e+01-2.031616655853716195e-15j)
 (6.900000000000000000e+01+0.000000000000000000e+00j)  (1.809349475177235789e+01+1.957215949239856610e-15j)
 (7.000000000000000000e+01+0.000000000000000000e+00j)  (1.789086521525650753e+01+3.729451968613887501e-16j)
 (7.100000000000000000e+01+0.000000000000000000e+00j)  (1.768943977990546301e+01-1.104679942542142376e-15j)
 (7.200000000000000000e+01+0.000000000000000000e+00j)  (1.748920214115145910e+01-1.144208586347279928e-15j)
 (7.300000000000000000e+01+0.000000000000000000e+00j)  (1.729099207374746072e+01+2.191498616424964878e-15j)
 (7.400000000000000000e+01+0.000000000000000000e+00j)  (1.709448871423434824e+01+4.571420333842333732e-17j)
 (7.500000000000000000e+01+0.000000000000000000e+00j)  (1.689933307339318347e+01+1.509827342150032122e-15j)
 (7.600000000000000000e+01+0.000000000000000000e+00j)  (1.670593629511273193e+01+1.329900229273136791e-15j)
 (7.700000000000000000e+01+0.000000000000000000e+00j)  (1.651438834474213380e+01+7.131654107688277315e-16j)
 (7.800000000000000000e+01+0.000000000000000000e+00j)  (1.632387675787935777e+01+6.043115469586207054e-16j)
 (7.900000000000000000e+01+0.000000000000000000e+00j)  (1.613539649798057596e+01-1.138698255698663598e-15j)
 (8.000000000000000000e+01+0.000000000000000000e+00j)  (1.594854738946422046e+01+1.016490336992917661e-15j)
 (8.100000000000000000e+01+0.000000000000000000e+00j)  (1.576281957005249446e+01-5.953501587896741536e-16j)
 (8.200000000000000000e+01+0.000000000000000000e+00j)  (1.557944763781162933e+01+3.721929448934040377e-16j)
 (8.300000000000000000e+01+0.000000000000000000e+00j)  (1.539649886667438139e+01-1.268174556826544538e-15j)
 (8.400000000000000000e+01+0.000000000000000000e+00j)  (1.521595049263188493e+01+1.394532953910701875e-15j)
 (8.500000000000000000e+01+0.000000000000000000e+00j)  (1.503647156995392287e+01+3.940120694460492396e-16j)
 (8.600000000000000000e+01+0.000000000000000000e+00j)  (1.485910134424013584e+01-1.245400297175536016e-15j)
 (8.700000000000000000e+01+0.000000000000000000e+00j)  (1.468271998491439589e+01-4.306640645654423019e-16j)
 (8.800000000000000000e+01+0.000000000000000000e+00j)  (1.450805746523784201e+01-4.371735799600652561e-16j)
 (8.900000000000000000e+01+0.000000000000000000e+00j)  (1.433478105183612783e+01+9.258287743662860180e-17j)
 (9.000000000000000000e+01+0.000000000000000000e+00j)  (1.416318032896875678e+01+2.818681057959117725e-16j)
 (9.100000000000000000e+01+0.000000000000000000e+00j)  (1.399306267821888028e+01+1.382660434967886054e-15j)
 (9.200000000000000000e+01+0.000000000000000000e+00j)  (1.382409418643150367e+01+1.172860183248347038e-15j)
 (9.300000000000000000e+01+0.000000000000000000e+00j)  (1.365682861968913642e+01-1.394560374790236221e-16j)
 (9.400000000000000000e+01+0.000000000000000000e+00j)  (1.349107130820083533e+01+7.243335418117946217e-16j)
 (9.500000000000000000e+01+0.000000000000000000e+00j)  (1.332662139698632053e+01+7.539085264028100750e-16j)
 (9.600000000000000000e+01+0.000000000000000000e+00j)  (1.316392839473427756e+01-2.330945598980733872e-15j)
 (9.700000000000000000e+01+0.000000000000000000e+00j)  (1.300230659788111787e+01+7.137755642311052077e-16j)
 (9.800000000000000000e+01+0.000000000000000000e+00j)  (1.284245202008913900e+01+8.801098746056273709e-16j)
 (9.900000000000000000e+01+0.000000000000000000e+00j)  (1.268372130871513370e+01+6.135316700782676505e-16j)
 (1.000000000000000000e+02+0.000000000000000000e+00j)  (1.252650193300866910e+01+1.213597673570465378e-15j)
 (1.010000000000000000e+02+0.000000000000000000e+00j)  (1.237041095632374521e+01+1.572529998302712648e-15j)
 (1.020000000000000000e+02+0.000000000000000000e+00j)  (1.221564359483235407e+01+1.441045416012100706e-15j)
 (1.030000000000000000e+02+0.000000000000000000e+00j)  (1.206290139414972806e+01+4.119543599574012374e-16j)
 (1.040000000000000000e+02+0.000000000000000000e+00j)  (1.191107683197622258e+01-3.537668030230405281e-16j)
 (1.050000000000000000e+02+0.000000000000000000e+00j)  (1.176077244444168990e+01-5.210773178833523493e-16j)
 (1.060000000000000000e+02+0.000000000000000000e+00j)  (1.161181715801056136e+01+1.512799390340267027e-15j)
 (1.070000000000000000e+02+0.000000000000000000e+00j)  (1.146416841768855122e+01+3.411182735458788629e-16j)
 (1.080000000000000000e+02+0.000000000000000000e+00j)  (1.131769240668546672e+01-2.807156395055524863e-16j)
 (1.090000000000000000e+02+0.000000000000000000e+00j)  (1.117264651995593638e+01+7.089769026849250699e-16j)
 (1.100000000000000000e+02+0.000000000000000000e+00j)  (1.102911787946864131e+01+6.644646166966467442e-16j)
 (1.110000000000000000e+02+0.000000000000000000e+00j)  (1.088667725803908404e+01-3.647635333360402007e-16j)
 (1.120000000000000000e+02+0.000000000000000000e+00j)  (1.074579056469710281e+01+4.203291997362154787e-16j)
 (1.130000000000000000e+02+0.000000000000000000e+00j)  (1.060615851648340247e+01+3.145102912281535361e-16j)
 (1.140000000000000000e+02+0.000000000000000000e+00j)  (1.046743233125325467e+01-6.111438136173317499e-16j)
 (1.150000000000000000e+02+0.000000000000000000e+00j)  (1.033009078004850956e+01-2.894332914470595747e-16j)
 (1.160000000000000000e+02+0.000000000000000000e+00j)  (1.019433212644380227e+01+7.508022971307294503e-16j)
 (1.170000000000000000e+02+0.000000000000000000e+00j)  (1.005954997429401843e+01-8.930693786805408448e-16j)
 (1.180000000000000000e+02+0.000000000000000000e+00j)  (9.926123636626003943e+00-4.636174158425762191e-16j)
 (1.190000000000000000e+02+0.000000000000000000e+00j)  (9.793896513649457347e+00+8.648259195601976586e-16j)
 (1.200000000000000000e+02+0.000000000000000000e+00j)  (9.662954842356230145e+00-1.093896225035341142e-15j)
 (1.210000000000000000e+02+0.000000000000000000e+00j)  (9.533498993990731307e+00-5.217440257335042071e-16j)
 (1.220000000000000000e+02+0.000000000000000000e+00j)  (9.404881219066297149e+00-5.340873091684132624e-16j)
 (1.230000000000000000e+02+0.000000000000000000e+00j)  (9.277608281566847026e+00+1.552701717785684057e-15j)
 (1.240000000000000000e+02+0.000000000000000000e+00j)  (9.151467645940559947e+00-2.045396786257813522e-16j)
 (1.250000000000000000e+02+0.000000000000000000e+00j)  (9.026571043959592089e+00+7.449900750272149014e-16j)
 (1.260000000000000000e+02+0.000000000000000000e+00j)  (8.902797122063864421e+00-2.929735049821880294e-16j)
 (1.270000000000000000e+02+0.000000000000000000e+00j)  (8.780566319309851764e+00+3.518221412594509477e-17j)
 (1.280000000000000000e+02+0.000000000000000000e+00j)  (8.659068721288766923e+00-9.753019912898548585e-17j)
 (1.290000000000000000e+02+0.000000000000000000e+00j)  (8.538990199693344607e+00-9.019345222192519167e-16j)
 (1.300000000000000000e+02+0.000000000000000000e+00j)  (8.420004925639458904e+00+6.074449676420796264e-16j)
 (1.310000000000000000e+02+0.000000000000000000e+00j)  (8.302216306271622770e+00+1.098653452561715137e-15j)
 (1.320000000000000000e+02+0.000000000000000000e+00j)  (8.185495065452542462e+00+3.791369049414553278e-16j)
 (1.330000000000000000e+02+0.000000000000000000e+00j)  (8.069977005764423339e+00+2.701440553734385653e-16j)
 (1.340000000000000000e+02+0.000000000000000000e+00j)  (7.955601708341413669e+00-5.155464989475447778e-16j)
 (1.350000000000000000e+02+0.000000000000000000e+00j)  (7.842482315383572100e+00+1.145528108774535196e-15j)
 (1.360000000000000000e+02+0.000000000000000000e+00j)  (7.730100309879586185e+00+6.266674986817376388e-16j)
 (1.370000000000000000e+02+0.000000000000000000e+00j)  (7.619150472944282271e+00+9.860481494922014165e-16j)
 (1.380000000000000000e+02+0.000000000000000000e+00j)  (7.509244852245151591e+00-6.954537446602257815e-17j)
 (1.390000000000000000e+02+0.000000000000000000e+00j)  (7.400259403090823085e+00+1.000996190632689117e-15j)
 (1.400000000000000000e+02+0.000000000000000000e+00j)  (7.292555061614525158e+00+5.933484917408859972e-16j)
 (1.410000000000000000e+02+0.000000000000000000e+00j)  (7.186163122265926795e+00-9.597014106991344235e-16j)
 (1.420000000000000000e+02+0.000000000000000000e+00j)  (7.080390678055220377e+00-8.022188324890479096e-16j)
 (1.430000000000000000e+02+0.000000000000000000e+00j)  (6.976158810855966230e+00-1.880617128489353950e-16j)
 (1.440000000000000000e+02+0.000000000000000000e+00j)  (6.872508295735639372e+00-2.213720226402799957e-16j)
 (1.450000000000000000e+02+0.000000000000000000e+00j)  (6.770047639976663589e+00+2.246334357171892301e-16j)
 (1.460000000000000000e+02+0.000000000000000000e+00j)  (6.668795268648272767e+00+1.815262234313843094e-16j)
 (1.470000000000000000e+02+0.000000000000000000e+00j)  (6.568608163947707190e+00+7.142402207974583114e-16j)
 (1.480000000000000000e+02+0.000000000000000000e+00j)  (6.469507798213930627e+00-1.550365092620054850e-15j)
 (1.490000000000000000e+02+0.000000000000000000e+00j)  (6.371179604888760117e+00+6.106239145711929963e-16j)
 (1.500000000000000000e+02+0.000000000000000000e+00j)  (6.273987037257283461e+00+3.172893990585219069e-16j)
 (1.510000000000000000e+02+0.000000000000000000e+00j)  (6.177888715454437296e+00-6.121837449224691096e-16j)
 (1.520000000000000000e+02+0.000000000000000000e+00j)  (6.082897525417429563e+00-3.927953392751627438e-16j)
 (1.530000000000000000e+02+0.000000000000000000e+00j)  (5.988725790018638584e+00+4.771998821616217288e-16j)
 (1.540000000000000000e+02+0.000000000000000000e+00j)  (5.895592938494526258e+00-2.948699674889966260e-16j)
 (1.550000000000000000e+02+0.000000000000000000e+00j)  (5.803795990325238741e+00-1.137778211335615318e-15j)
 (1.560000000000000000e+02+0.000000000000000000e+00j)  (5.712565160496699157e+00+1.157369008594360003e-15j)
 (1.570000000000000000e+02+0.000000000000000000e+00j)  (5.622598594183846110e+00-4.168357395119169794e-16j)
 (1.580000000000000000e+02+0.000000000000000000e+00j)  (5.533288632532644691e+00+1.673558408170325890e-16j)
 (1.590000000000000000e+02+0.000000000000000000e+00j)  (5.445272073591194584e+00-5.790235855288269446e-16j)
 (1.600000000000000000e+02+0.000000000000000000e+00j)  (5.358256793394955864e+00+7.193151309915239169e-16j)
 (1.610000000000000000e+02+0.000000000000000000e+00j)  (5.272021996803702315e+00+1.527766901009047110e-15j)
 (1.620000000000000000e+02+0.000000000000000000e+00j)  (5.186845925371700083e+00+1.484460835136361228e-15j)
 (1.630000000000000000e+02+0.000000000000000000e+00j)  (5.102614209543915536e+00-6.421055959732967816e-16j)
 (1.640000000000000000e+02+0.000000000000000000e+00j)  (5.019076142026706044e+00+7.860320583275813531e-16j)
 (1.650000000000000000e+02+0.000000000000000000e+00j)  (4.936934969886506153e+00-7.031063040198338912e-16j)
 (1.660000000000000000e+02+0.000000000000000000e+00j)  (4.855441339797176958e+00+4.301485267594187304e-16j)
 (1.670000000000000000e+02+0.000000000000000000e+00j)  (4.774938477733140729e+00-5.836028847552383326e-17j)
 (1.680000000000000000e+02+0.000000000000000000e+00j)  (4.695325130790171109e+00+7.759746418420938679e-16j)
 (1.690000000000000000e+02+0.000000000000000000e+00j)  (4.616793041138494758e+00-5.002517481838734529e-16j)
 (1.700000000000000000e+02+0.000000000000000000e+00j)  (4.539043021461187877e+00-8.454041437280354841e-16j)
 (1.710000000000000000e+02+0.000000000000000000e+00j)  (4.462111031673980044e+00-4.817414094447928486e-16j)
 (1.720000000000000000e+02+0.000000000000000000e+00j)  (4.386280746417917875e+00-5.619236390242829958e-16j)
 (1.730000000000000000e+02+0.000000000000000000e+00j)  (4.311231153842147279e+00-4.546710020072872086e-16j)
 (1.740000000000000000e+02+0.000000000000000000e+00j)  (4.237037763946135627e+00+6.022925350887897542e-17j)
 (1.750000000000000000e+02+0.000000000000000000e+00j)  (4.163860408776471900e+00+3.329821468134876313e-16j)
 (1.760000000000000000e+02+0.000000000000000000e+00j)  (4.091382641093657568e+00+3.113624268824343255e-16j)
 (1.770000000000000000e+02+0.000000000000000000e+00j)  (4.019837089286439458e+00-6.041860399160387584e-16j)
 (1.780000000000000000e+02+0.000000000000000000e+00j)  (3.949349492698391639e+00-4.450422526334102023e-16j)
 (1.790000000000000000e+02+0.000000000000000000e+00j)  (3.879610640460924298e+00-5.171979459121143973e-17j)
 (1.800000000000000000e+02+0.000000000000000000e+00j)  (3.810729584055692509e+00-1.543144127986201032e-17j)
 (1.810000000000000000e+02+0.000000000000000000e+00j)  (3.742650726078541101e+00+1.275979052240224950e-16j)
 (1.820000000000000000e+02+0.000000000000000000e+00j)  (3.675281293210060696e+00+2.916408503160469027e-16j)
 (1.830000000000000000e+02+0.000000000000000000e+00j)  (3.608882385004130722e+00+2.044653275036853861e-16j)
 (1.840000000000000000e+02+0.000000000000000000e+00j)  (3.543499143777269378e+00-7.128510952757023869e-16j)
 (1.850000000000000000e+02+0.000000000000000000e+00j)  (3.478731507343590934e+00+5.802736650716751041e-16j)
 (1.860000000000000000e+02+0.000000000000000000e+00j)  (3.414955465476210428e+00-1.671025889870994134e-16j)
 (1.870000000000000000e+02+0.000000000000000000e+00j)  (3.351832235868565046e+00-2.095448458182642798e-16j)
 (1.880000000000000000e+02+0.000000000000000000e+00j)  (3.289689303918301277e+00-1.232545361012874948e-16j)
 (1.890000000000000000e+02+0.000000000000000000e+00j)  (3.228103944297838090e+00+5.408720279352343625e-16j)
 (1.900000000000000000e+02+0.000000000000000000e+00j)  (3.167455226610459640e+00+5.926654992555164119e-16j)
 (1.910000000000000000e+02+0.000000000000000000e+00j)  (3.107705810628179854e+00-3.753283758441382858e-16j)
 (1.920000000000000000e+02+0.000000000000000000e+00j)  (3.048628933672557828e+00+5.350673800853208424e-16j)
 (1.930000000000000000e+02+0.000000000000000000e+00j)  (2.990297588377998750e+00+1.564586635855232174e-16j)
 (1.940000000000000000e+02+0.000000000000000000e+00j)  (2.932779705974213780e+00+5.020529984487279023e-16j)
 (1.950000000000000000e+02+0.000000000000000000e+00j)  (2.875980125934944009e+00-5.097885185095636933e-16j)
 (1.960000000000000000e+02+0.000000000000000000e+00j)  (2.820037033940612670e+00-2.372660635542320146e-16j)
 (1.970000000000000000e+02+0.000000000000000000e+00j)  (2.764812958446183799e+00-3.450495517448730923e-16j)
