# Time(fs)    f(t)(a.u.)
0.000000000000000000e+00 2.006170004260452605e-04
2.857551078725532531e-02 2.053540499964745839e-04
5.715102157451065062e-02 2.100733351373416447e-04
8.572653236176597247e-02 2.147743295291637631e-04
1.143020431490213012e-01 2.194565082900754016e-04
1.428775539362766300e-01 2.241193427522039790e-04
1.714530647235319449e-01 2.287623090030554323e-04
2.000285755107872598e-01 2.333848850926877538e-04
2.286040862980426025e-01 2.379865468851116131e-04
2.571795970852979729e-01 2.425667744010733180e-04
2.857551078725532601e-01 2.471250457711231144e-04
3.143306186598085472e-01 2.516608388688623536e-04
3.429061294470638899e-01 2.561736404302199796e-04
3.714816402343192325e-01 2.606629317002834311e-04
4.000571510215745197e-01 2.651281958343722103e-04
4.286326618088298623e-01 2.695689202540713829e-04
4.572081725960852050e-01 2.739845915485472996e-04
4.857836833833405477e-01 2.783746980350951814e-04
5.143591941705959458e-01 2.827387310309921313e-04
5.429347049578511220e-01 2.870761834920290668e-04
5.715102157451065201e-01 2.913865469721961380e-04
6.000857265323618073e-01 2.956693171575786061e-04
6.286612373196170944e-01 2.999239920528055264e-04
6.572367481068724926e-01 3.041500694137743094e-04
6.858122588941277797e-01 3.083470505516637604e-04
7.143877696813831779e-01 3.125144377553762290e-04
7.429632804686384651e-01 3.166517342135204268e-04
7.715387912558937522e-01 3.207584480774761993e-04
8.001143020431490394e-01 3.248340877707215995e-04
8.286898128304044375e-01 3.288781625256428508e-04
8.572653236176597247e-01 3.328901860035067247e-04
8.858408344049151228e-01 3.368696731425178037e-04
9.144163451921704100e-01 3.408161409915684884e-04
9.429918559794256971e-01 3.447291092058539941e-04
9.715673667666810953e-01 3.486081000877692157e-04
1.000142877553936271e+00 3.524526373212066117e-04
1.028718388341191892e+00 3.562622485845515826e-04
1.057293899128447068e+00 3.600364636666690717e-04
1.085869409915702244e+00 3.637748140681856140e-04
1.114444920702957642e+00 3.674768349519462224e-04
1.143020431490213040e+00 3.711420641633423690e-04
1.171595942277468216e+00 3.747700414318913022e-04
1.200171453064723615e+00 3.783603101384457436e-04
1.228746963851979013e+00 3.819124166239169370e-04
1.257322474639234189e+00 3.854259096437641797e-04
1.285897985426489587e+00 3.889003405805561823e-04
1.314473496213744985e+00 3.923352642158027233e-04
1.343049007001000383e+00 3.957302395107971621e-04
1.371624517788255559e+00 3.990848270801550853e-04
1.400200028575510958e+00 4.023985918817541037e-04
1.428775539362766356e+00 4.056711009762374890e-04
1.457351050150021532e+00 4.089019257809561620e-04
1.485926560937276930e+00 4.120906405166261137e-04
1.514502071724532328e+00 4.152368227052904829e-04
1.543077582511787504e+00 4.183400539414096710e-04
1.571653093299042681e+00 4.213999190629740899e-04
1.600228604086298079e+00 4.244160055439785218e-04
1.628804114873553699e+00 4.273879059407430432e-04
1.657379625660808875e+00 4.303152157200530563e-04
1.685955136448064273e+00 4.331975347012188685e-04
1.714530647235319449e+00 4.360344654752722790e-04
1.743106158022574625e+00 4.388256156913121703e-04
1.771681668809830246e+00 4.415705964445941424e-04
1.800257179597085644e+00 4.442690217239007931e-04
1.828832690384340820e+00 4.469205108350297775e-04
1.857408201171595996e+00 4.495246868782787298e-04
1.885983711958851394e+00 4.520811768983723717e-04
1.914559222746107015e+00 4.545896122709630767e-04
1.943134733533362191e+00 4.570496285312651281e-04
1.971710244320617367e+00 4.594608652568752858e-04
2.000285755107872543e+00 4.618229667208016329e-04
2.028861265895128163e+00 4.641355816665818307e-04
2.057436776682383783e+00 4.663983628205897909e-04
2.086012287469638959e+00 4.686109677364627430e-04
2.114587798256894136e+00 4.707730585378880383e-04
2.143163309044149312e+00 4.728843018597673467e-04
2.171738819831404488e+00 4.749443683823365014e-04
2.200314330618660108e+00 4.769529341231851585e-04
2.228889841405915284e+00 4.789096792412278979e-04
2.257465352193170904e+00 4.808142897801064128e-04
2.286040862980426080e+00 4.826664556551957339e-04
2.314616373767681257e+00 4.844658719789805617e-04
2.343191884554936433e+00 4.862122386715737963e-04
2.371767395342192053e+00 4.879052609069950224e-04
2.400342906129447229e+00 4.895446487414386759e-04
2.428918416916702849e+00 4.911301174347364098e-04
2.457493927703958025e+00 4.926613872140615195e-04
2.486069438491213202e+00 4.941381836840258663e-04
2.514644949278468378e+00 4.955602371236550539e-04
2.543220460065723998e+00 4.969272832288749043e-04
2.571795970852979174e+00 4.982390635038053345e-04
2.600371481640234350e+00 4.994953246803532148e-04
2.628946992427489970e+00 5.006958185432202951e-04
2.657522503214745146e+00 5.018403029974802211e-04
2.686098014002000767e+00 5.029285402533230148e-04
2.714673524789255943e+00 5.039602993863581725e-04
2.743249035576511119e+00 5.049353542197959404e-04
2.771824546363766295e+00 5.058534844753814807e-04
2.800400057151021915e+00 5.067144756996285740e-04
2.828975567938277536e+00 5.075181189739003812e-04
2.857551078725532712e+00 5.082642114041304457e-04
2.886126589512787888e+00 5.089525553892246430e-04
2.914702100300043064e+00 5.095829605434373929e-04
2.943277611087298240e+00 5.101552410647815098e-04
2.971853121874553860e+00 5.106692173122764087e-04
3.000428632661809036e+00 5.111247157136478061e-04
3.029004143449064657e+00 5.115215682356794545e-04
3.057579654236319833e+00 5.118596143204357006e-04
3.086155165023575009e+00 5.121386977860747794e-04
3.114730675810830629e+00 5.123586691736808528e-04
3.143306186598085361e+00 5.125193864777401274e-04
3.171881697385340981e+00 5.126207124912639940e-04
3.200457208172596157e+00 5.126625161779055318e-04
3.229032718959851778e+00 5.126446735846389461e-04
3.257608229747107398e+00 5.125670658652019783e-04
3.286183740534362130e+00 5.124295817735350636e-04
3.314759251321617750e+00 5.122321162487931956e-04
3.343334762108872926e+00 5.119745698414316379e-04
3.371910272896128546e+00 5.116568497747014336e-04
3.400485783683383723e+00 5.112788710830365327e-04
3.429061294470638899e+00 5.108405543224655686e-04
3.457636805257894519e+00 5.103418262176851817e-04
3.486212316045149251e+00 5.097826208868844059e-04
3.514787826832404871e+00 5.091628785554761600e-04
3.543363337619660491e+00 5.084825467688251907e-04
3.571938848406915668e+00 5.077415790302044563e-04
3.600514359194171288e+00 5.069399364261923183e-04
3.629089869981426020e+00 5.060775857991871123e-04
3.657665380768681640e+00 5.051545011766559031e-04
3.686240891555937260e+00 5.041706621090290275e-04
3.714816402343191992e+00 5.031260571003445337e-04
3.743391913130447612e+00 5.020206809080707527e-04
3.771967423917702789e+00 5.008545347144144691e-04
3.800542934704958409e+00 4.996276257359924186e-04
3.829118445492214029e+00 4.983399691844353843e-04
3.857693956279468761e+00 4.969915881567903192e-04
3.886269467066724381e+00 4.955825112044442808e-04
3.914844977853979113e+00 4.941127744196628386e-04
3.943420488641234734e+00 4.925824209653787474e-04
3.971995999428490354e+00 4.909915004950816605e-04
4.000571510215745086e+00 4.893400692970394615e-04
4.029147021003001150e+00 4.876281928750464878e-04
4.057722531790256326e+00 4.858559421475013886e-04
4.086298042577511502e+00 4.840233947925767603e-04
4.114873553364767567e+00 4.821306370380072995e-04
4.143449064152021855e+00 4.801777613475515525e-04
4.172024574939277919e+00 4.781648678075446266e-04
4.200600085726532207e+00 4.760920621503775718e-04
4.229175596513788271e+00 4.739594583628718347e-04
4.257751107301043447e+00 4.717671782735142214e-04
4.286326618088298623e+00 4.695153505431851298e-04
4.314902128875554688e+00 4.672041104208341867e-04
4.343477639662808976e+00 4.648335999890416308e-04
4.372053150450065040e+00 4.624039709385090744e-04
4.400628661237320216e+00 4.599153798925512582e-04
4.429204172024575392e+00 4.573679903064984537e-04
4.457779682811830568e+00 4.547619744522387133e-04
4.486355193599085744e+00 4.520975117530016203e-04
4.514930704386341809e+00 4.493747886900550481e-04
4.543506215173596097e+00 4.465939980931938800e-04
4.572081725960852161e+00 4.437553406844047281e-04
4.600657236748107337e+00 4.408590243468685850e-04
4.629232747535362513e+00 4.379052643774622943e-04
4.657808258322618578e+00 4.348942829951822609e-04
4.686383769109872865e+00 4.318263108867709255e-04
4.714959279897128930e+00 4.287015845931581434e-04
4.743534790684384106e+00 4.255203480387748614e-04
4.772110301471639282e+00 4.222828530227555198e-04
4.800685812258894458e+00 4.189893586467383210e-04
4.829261323046149634e+00 4.156401305686366300e-04
4.857836833833405699e+00 4.122354418512018392e-04
4.886412344620660875e+00 4.087755735815229376e-04
4.914987855407916051e+00 4.052608129850260397e-04
4.943563366195171227e+00 4.016914545345962951e-04
4.972138876982426403e+00 3.980678003365190044e-04
5.000714387769681579e+00 3.943901610429210200e-04
5.029289898556936755e+00 3.906588524985553628e-04
5.057865409344192820e+00 3.868741978424006613e-04
5.086440920131447996e+00 3.830365282860191613e-04
5.115016430918703172e+00 3.791461817314488100e-04
5.143591941705958348e+00 3.752035022523862251e-04
5.172167452493213524e+00 3.712088423087512180e-04
5.200742963280468700e+00 3.671625620655864894e-04
5.229318474067724765e+00 3.630650269742419938e-04
5.257893984854979941e+00 3.589166105629831242e-04
5.286469495642235117e+00 3.547176929606601524e-04
5.315045006429490293e+00 3.504686609352266257e-04
5.343620517216745469e+00 3.461699099930711431e-04
5.372196028004001533e+00 3.418218407372053511e-04
5.400771538791256710e+00 3.374248608928527332e-04
5.429347049578511886e+00 3.329793861624733204e-04
5.457922560365767062e+00 3.284858384568085368e-04
5.486498071153022238e+00 3.239446456844800588e-04
5.515073581940278302e+00 3.193562445147006112e-04
5.543649092727532590e+00 3.147210770092740773e-04
5.572224603514788654e+00 3.100395917016539999e-04
5.600800114302043831e+00 3.053122452398538897e-04
5.629375625089299007e+00 3.005394995015424537e-04
5.657951135876555071e+00 2.957218237962452325e-04
5.686526646663809359e+00 2.908596947938345821e-04
5.715102157451065423e+00 2.859535954088095818e-04
5.743677668238319711e+00 2.810040140269114226e-04
5.772253179025575776e+00 2.760114456481890842e-04
5.800828689812830952e+00 2.709763929012164196e-04
5.829404200600086128e+00 2.658993642384021856e-04
5.857979711387342192e+00 2.607808742753975817e-04
5.886555222174596480e+00 2.556214442695176428e-04
5.915130732961852544e+00 2.504216015162895434e-04
5.943706243749107720e+00 2.451818803831326294e-04
5.972281754536362897e+00 2.399028209994135351e-04
6.000857265323618073e+00 2.345849702767532864e-04
6.029432776110873249e+00 2.292288794239205889e-04
6.058008286898129313e+00 2.238351066255064934e-04
6.086583797685383601e+00 2.184042169747868294e-04
6.115159308472639665e+00 2.129367810013972303e-04
6.143734819259894842e+00 2.074333760184747435e-04
6.172310330047150018e+00 2.018945841094777610e-04
6.200885840834406082e+00 1.963209930984651885e-04
6.229461351621661258e+00 1.907131975627408404e-04
6.258036862408916434e+00 1.850717970816722355e-04
