# Time(fs)    f(t)(a.u.)
0.000000000000000000e+00 2.101315942244353751e-04
2.857551078725532531e-02 2.148354986957657254e-04
5.715102157451065062e-02 2.195201856047382697e-04
8.572653236176597247e-02 2.241851330936918657e-04
1.143020431490213012e-01 2.288298194686893584e-04
1.428775539362766300e-01 2.334537262152280650e-04
1.714530647235319449e-01 2.380563325482809307e-04
2.000285755107872598e-01 2.426371232198821885e-04
2.286040862980426025e-01 2.471955815441437537e-04
2.571795970852979729e-01 2.517311917579615529e-04
2.857551078725532601e-01 2.562434419124575476e-04
3.143306186598085472e-01 2.607318191399635903e-04
3.429061294470638899e-01 2.651958126902106711e-04
3.714816402343192325e-01 2.696349132479158623e-04
4.000571510215745197e-01 2.740486131208739930e-04
4.286326618088298623e-01 2.784364059123315945e-04
4.572081725960852050e-01 2.827977873067262656e-04
4.857836833833405477e-01 2.871322542871510702e-04
5.143591941705959458e-01 2.914393055590971753e-04
5.429347049578511220e-01 2.957184424045394789e-04
5.715102157451065201e-01 2.999691676403556722e-04
6.000857265323618073e-01 3.041909852305900636e-04
6.286612373196170944e-01 3.083834022894348559e-04
6.572367481068724926e-01 3.125459265525489428e-04
6.858122588941277797e-01 3.166780687311475970e-04
7.143877696813831779e-01 3.207793412629613978e-04
7.429632804686384651e-01 3.248492592920688201e-04
7.715387912558937522e-01 3.288873391569607459e-04
8.001143020431490394e-01 3.328931005404326543e-04
8.286898128304044375e-01 3.368660643935529999e-04
8.572653236176597247e-01 3.408057552152183927e-04
8.858408344049151228e-01 3.447116987400749557e-04
9.144163451921704100e-01 3.485834242275562614e-04
9.429918559794256971e-01 3.524204628332016590e-04
9.715673667666810953e-01 3.562223483901051820e-04
1.000142877553936271e+00 3.599886177718947798e-04
1.028718388341191892e+00 3.637188099961874356e-04
1.057293899128447068e+00 3.674124667560981937e-04
1.085869409915702244e+00 3.710691331201777170e-04
1.114444920702957642e+00 3.746883561321284273e-04
1.143020431490213040e+00 3.782696866823309851e-04
1.171595942277468216e+00 3.818126779576437287e-04
1.200171453064723615e+00 3.853168864772233012e-04
1.228746963851979013e+00 3.887818715710223208e-04
1.257322474639234189e+00 3.922071955778218895e-04
1.285897985426489587e+00 3.955924245414951692e-04
1.314473496213744985e+00 3.989371270753114609e-04
1.343049007001000383e+00 4.022408752460666470e-04
1.371624517788255559e+00 4.055032445727028392e-04
1.400200028575510958e+00 4.087238140452087876e-04
1.428775539362766356e+00 4.119021658103958101e-04
1.457351050150021532e+00 4.150378855911654951e-04
1.485926560937276930e+00 4.181305629115052332e-04
1.514502071724532328e+00 4.211797902781047164e-04
1.543077582511787504e+00 4.241851640181787506e-04
1.571653093299042681e+00 4.271462844524714442e-04
1.600228604086298079e+00 4.300627555145403506e-04
1.628804114873553699e+00 4.329341847843750832e-04
1.657379625660808875e+00 4.357601831352391668e-04
1.685955136448064273e+00 4.385403660555766510e-04
1.714530647235319449e+00 4.412743529414481659e-04
1.743106158022574625e+00 4.439617664781680853e-04
1.771681668809830246e+00 4.466022342724796073e-04
1.800257179597085644e+00 4.491953877612179895e-04
1.828832690384340820e+00 4.517408616859382685e-04
1.857408201171595996e+00 4.542382965190709990e-04
1.885983711958851394e+00 4.566873356984823586e-04
1.914559222746107015e+00 4.590876272343799992e-04
1.943134733533362191e+00 4.614388240591670368e-04
1.971710244320617367e+00 4.637405827102437472e-04
2.000285755107872543e+00 4.659925639761416461e-04
2.028861265895128163e+00 4.681944343062045084e-04
2.057436776682383783e+00 4.703458637839670392e-04
2.086012287469638959e+00 4.724465271096129119e-04
2.114587798256894136e+00 4.744961036828697766e-04
2.143163309044149312e+00 4.764942777186641958e-04
2.171738819831404488e+00 4.784407378106626699e-04
2.200314330618660108e+00 4.803351779273946887e-04
2.228889841405915284e+00 4.821772966839041438e-04
2.257465352193170904e+00 4.839667967213524737e-04
2.286040862980426080e+00 4.857033866953518273e-04
2.314616373767681257e+00 4.873867799899023905e-04
2.343191884554936433e+00 4.890166943320742527e-04
2.371767395342192053e+00 4.905928530459676123e-04
2.400342906129447229e+00 4.921149850793845844e-04
2.428918416916702849e+00 4.935828236402615759e-04
2.457493927703958025e+00 4.949961072649959734e-04
2.486069438491213202e+00 4.963545804088848653e-04
2.514644949278468378e+00 4.976579914420783740e-04
2.543220460065723998e+00 4.989060949308965010e-04
2.571795970852979174e+00 5.000986513268508874e-04
2.600371481640234350e+00 5.012354254672568522e-04
2.628946992427489970e+00 5.023161886778599499e-04
2.657522503214745146e+00 5.033407168316731371e-04
2.686098014002000767e+00 5.043087910457466714e-04
2.714673524789255943e+00 5.052201991251866267e-04
2.743249035576511119e+00 5.060747343700674897e-04
2.771824546363766295e+00 5.068721946650254270e-04
2.800400057151021915e+00 5.076123845804081597e-04
2.828975567938277536e+00 5.082951141463184531e-04
